State,Division,2023-07,2023-06,2023-05,2023-04,2023-03,2023-02,2023-01,2022-12,2022-11,2022-10,2022-09,2022-08,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02,2022-01,2021-12,2021-11,2021-10,2021-09,2021-08,2021-07,2021-06,2021-05,2021-04,2021-03,2021-02,2021-01,2020-12,2020-11,2020-10,2020-09,2020-08,2020-07,2020-06,2020-05,2020-04,2020-03,2020-02,2020-01,2019-12,2019-11,2019-10,2019-09,2019-08,2019-07,2019-06,2019-05,2019-04,2019-03,2019-02,2019-01,2018-12,2018-11,2018-10,2018-09,2018-08,2018-07,2018-06,2018-05,2018-04,2018-03,2018-02,2018-01,2017-12,2017-11,2017-10,2017-09,2017-08,2017-07,2017-06,2017-05,2017-04,2017-03,2017-02,2017-01,2016-12,2016-11,2016-10,2016-09,2016-08,2016-07,2016-06,2016-05,2016-04,2016-03,2016-02,2016-01,2015-12,2015-11,2015-10,2015-09,2015-08,2015-07,2015-06,2015-05,2015-04,2015-03,2015-02,2015-01,2014-12,2014-11,2014-10,2014-09,2014-08,2014-07,2014-06,2014-05,2014-04,2014-03,2014-02,2014-01,2013-12,2013-11,2013-10,2013-09,2013-08,2013-07,2013-06,2013-05,2013-04,2013-03,2013-02,2013-01,2012-12,2012-11,2012-10,2012-09,2012-08,2012-07,2012-06,2012-05,2012-04,2012-03,2012-02,2012-01,2011-12,2011-11,2011-10,2011-09,2011-08,2011-07,2011-06,2011-05,2011-04,2011-03,2011-02,2011-01,2010-12,2010-11,2010-10,2010-09,2010-08,2010-07,2010-06,2010-05,2010-04,2010-03,2010-02,2010-01
Maryland,South_Atlantic,1339,1210,1744,1230,1035,1351,1502,1297,1102,924,1653,1125,1981,2027,1517,2054,2191,1667,2062,1189,1071,1224,1789,1606,1228,1809,1356,1378,1601,1790,1320,1785,1403,1803,1932,1676,1294,1423,1550,1131,1604,1246,1448,1557,1163,15933,14410,13054,11717,10115,8487,6267,4452,2670,1743,18547,16963,15492,14222,12701,10515,8713,7359,5969,4430,2409,1360,16008,15185,14137,13219,11391,9920,8496,6903,5034,4039,2338,1042,16925,15736,14462,12417,11311,10170,8376,7713,5013,3650,2268,1056,16149,14972,13882,12636,11221,9803,8160,6089,4564,3167,2119,1220,17353,16186,14605,13447,11179,9920,8223,6851,5652,4488,2618,1233,18138,16898,15546,13876,11560,10115,8850,6937,5568,3879,2106,1067,14646,13351,11780,11346,10247,8530,6924,5763,4133,3472,2197,894,12198,10416,9433,8829,8039,6410,5166,4697,3416,2717,1448,752,12183,11401,10583,9901,9222,7637,6601,5522,3948,3044,1403,763
North_Carolina,South_Atlantic,7218,7820,9184,7997,8515,8095,7066,5062,7276,6781,6943,8119,6605,7106,8648,9028,8109,8329,8061,6479,7709,8006,7802,8399,7676,8339,6860,8029,8638,7814,6069,6018,7200,6359,5905,6826,6122,7052,5341,4886,6699,5691,5553,5044,5290,58475,52034,45996,40052,34313,28078,20268,14731,9340,4219,68375,62744,58385,53431,49108,42252,36166,30699,24128,17765,12334,6168,65009,60104,54052,48314,42815,36163,30055,24641,19355,15701,9045,4304,57090,53362,48516,43511,38353,33186,27230,22099,17319,11551,6916,2979,53512,48869,45383,40463,35937,31533,26293,21669,16399,11743,7755,3544,50642,46425,42479,38143,33425,28533,23528,19808,15448,10987,6768,3389,50787,46301,42457,37721,33928,28974,25065,20595,15835,11220,7365,3832,47828,44303,39933,35301,32350,28484,23894,19734,14605,11605,7327,3978,32400,30049,26982,24568,22265,19128,16536,13526,10903,8284,4952,2034,33728,31811,29588,27267,25026,21877,18525,15199,12195,8861,5312,2513
South_Carolina,South_Atlantic,3424,3778,4258,3472,3820,3039,3018,2937,2816,3637,3204,3797,3874,4170,4192,4453,4829,3801,4124,3459,4018,4275,4102,3629,4276,5588,3928,4352,4444,3588,3610,4046,3805,4098,3562,3555,4137,3624,2731,2717,3460,2824,2868,2509,2434,29852,26900,24105,20886,17978,15267,11797,8812,6251,3483,35655,32876,30132,27294,24827,21293,18360,15384,12239,8760,5365,2811,34730,32420,30013,26928,24144,21073,17974,14263,11196,8642,5351,2633,31356,28471,26046,23948,21206,18252,15508,12445,9724,6818,4055,1947,30059,27946,26166,23957,20916,18426,15626,13062,10145,6781,4444,1899,27469,25228,23559,20954,18296,16054,13808,11707,9546,7002,4683,2210,23637,21902,20022,17811,15338,13703,11732,9674,7313,5223,3335,1705,18856,17502,16008,14386,12805,11230,9752,8048,5619,4191,2581,1341,15616,14091,12976,11364,10293,8962,7736,6281,4988,3514,2019,915,14452,13515,12606,11732,10721,9554,8370,7128,5808,4410,2461,1104
Virginia,South_Atlantic,2561,3252,3161,2657,3308,2642,3272,2696,2000,3198,2883,3245,3556,3463,4004,3435,5047,2873,2714,3329,3373,2451,3078,3265,2973,3558,3125,4116,4361,2789,3294,2612,2521,2288,3028,2260,4380,3034,3233,2635,2632,2573,2671,2468,2170,28694,25781,23693,20035,16653,13843,10513,7396,5484,2859,31784,29586,27107,24722,21380,19255,16376,13533,11210,8232,5339,2437,33417,31546,28253,25496,22610,19680,16963,13568,10816,8331,4302,2282,31067,28820,25543,23700,20999,17838,15485,12869,9808,6839,4032,2257,30033,28191,26070,23440,21093,18368,14851,11480,9956,6344,3490,2070,28762,26784,25035,21914,19410,17559,14691,11451,8878,6864,4969,1637,31367,29196,26219,24402,21692,19044,16115,13287,9898,6655,4354,2501,26666,24504,21980,20018,18265,15551,13111,11047,8450,6429,4323,1691,22361,20914,19131,17239,15798,13854,11226,9279,7334,5963,3331,1677,21215,20452,18925,17028,14903,13073,10867,8908,7340,5213,2742,1429
West_Virginia,South_Atlantic,340,320,333,288,334,239,190,183,186,224,209,324,302,351,400,407,348,278,260,242,269,255,278,327,245,428,321,273,447,596,192,244,274,337,324,518,373,362,287,322,293,200,269,196,274,3015,2770,2504,2191,1896,1611,1112,880,545,287,3122,2910,2673,2448,2197,1694,1491,1183,896,604,342,159,2700,2498,2385,2161,1915,1630,1421,1171,909,664,371,206,2525,2375,2175,1894,1702,1500,1254,970,735,493,260,138,2934,2757,2576,2298,2056,1846,1449,1094,869,574,334,129,2076,1903,1709,1534,1316,1101,891,719,566,377,214,141,2335,2229,2077,1909,1730,1467,1276,1111,856,503,331,159,1890,1740,1616,1396,1305,1161,952,800,601,385,156,74,1671,1484,1409,1278,1111,977,774,583,443,308,217,75,1673,1580,1476,1412,1239,1119,994,735,619,410,248,129
Alabama,East_South_Central,1491,1853,2445,1402,2455,1518,1250,1161,1324,1466,1717,2542,1677,1854,1788,1920,2489,1703,1564,1437,1433,1510,1886,1547,1830,1679,1747,1652,2021,1879,1941,1555,1338,1627,1683,1853,2037,1684,1334,1665,1573,1380,1548,1366,1218,14303,12891,11417,9933,7783,6371,5080,3571,2255,1169,14323,13524,12443,11293,10427,9023,7769,6518,4794,3457,2315,1212,14497,13162,11941,10828,9545,8156,7008,5695,4476,3499,2115,1083,14471,13450,12547,11421,9807,8606,7557,5910,4843,3458,2198,1221,13597,12450,11545,10533,9581,7811,6831,5550,4416,3281,2285,1025,12674,11586,10910,9637,8683,7632,6530,5168,4287,3292,1996,835,10954,9971,9326,8462,7506,6651,5721,4756,3549,2474,1595,912,11385,10760,9833,8870,8071,6906,5688,4598,3436,2668,1557,874,10668,9409,8523,7522,6707,5859,5022,4095,3386,2772,1754,992,10233,9382,8997,8157,7432,6784,6041,5280,4221,3062,1716,881
Kentucky,East_South_Central,966,1157,1147,1540,1637,1191,937,1098,996,1513,1198,1407,1173,1119,1251,1080,1301,990,1005,1376,1298,1100,1217,1118,1044,1116,1323,1258,1700,1654,1085,907,1113,934,1305,1427,984,1215,1090,778,895,891,1157,712,880,11023,9759,8598,7299,5989,5039,3730,2508,1733,935,14370,13492,12708,11404,9998,8485,7060,5594,4532,2767,1541,854,13055,12189,11174,10326,9244,8042,7098,5870,4471,3541,1533,698,12798,12049,10868,9506,8542,7154,6247,4789,3648,2682,1526,753,10228,9444,8282,7140,6168,5298,4492,3459,2508,2024,1333,717,8970,8043,7533,6858,6075,5677,4884,3992,3232,2428,1567,939,8885,8126,7454,6530,5900,5248,4556,3745,2496,1789,1068,515,8329,7958,7437,6754,5755,4928,4272,3346,2440,1946,1064,436,6589,6174,5566,4933,4310,3641,3292,2542,2104,1390,828,392,6844,6428,5947,5156,4635,3995,3386,2790,2292,1631,859,422
Mississippi,East_South_Central,588,658,690,634,625,656,585,437,457,629,621,670,605,864,830,712,922,659,663,613,602,700,741,654,595,665,968,776,880,547,710,629,653,698,734,723,830,861,860,695,723,557,665,515,513,5846,5181,4578,3933,3338,2752,2053,1503,993,623,6989,6543,6049,5346,4823,4246,3618,2774,2096,1456,928,453,7881,7369,6966,6340,5793,5159,4549,3956,3281,2495,1818,920,6900,6426,5807,5276,4750,4171,3616,2985,2273,1613,1053,475,6792,6297,5860,5258,4489,3931,3321,2754,2188,1609,1068,644,6035,5235,4874,4433,4018,3528,2679,2269,1789,1349,687,329,5298,5005,4592,4202,3798,2973,2544,2133,1659,1214,650,315,5000,4649,4321,3903,3604,3085,2483,2114,1528,1087,678,354,4365,4108,3694,3382,2979,2569,2203,1873,1491,1180,785,307,4794,4409,4015,3690,3305,2840,2461,2116,1644,1127,698,366
Tennessee,East_South_Central,3798,3788,3964,5084,3458,4633,2367,2104,2302,2383,3367,2800,3634,3817,3775,4300,4543,4150,4811,4776,4807,4722,3910,4957,4457,5653,5384,5298,6526,3530,3818,3879,4114,4267,4018,5181,5636,3994,3699,3743,3210,3399,3560,3190,3237,34921,30053,27294,23420,19893,16913,12434,9333,5201,2733,37922,35749,33088,29144,26153,22537,18903,15363,11708,8155,5188,2760,38470,35858,33622,30466,27082,22892,19963,15519,11902,9127,5238,2322,36864,33703,31575,28687,25425,22346,19515,16657,13721,10369,6605,2892,34781,32181,28746,25343,22913,19865,16487,13605,10435,7221,4128,2027,26194,24319,22231,18795,16574,14762,12740,10762,8689,6340,4380,2422,23036,21386,20072,17340,15422,13678,11394,9572,7075,4700,2974,1491,19730,17835,16366,14728,12811,10816,9285,7451,5720,4344,2387,1266,13909,12527,11140,10268,8619,7461,6527,5132,4092,3070,1652,697,16325,15486,14752,13681,12345,10627,9291,7621,5962,4714,2923,1185
Arkansas,West_South_Central,1335,1313,1053,851,812,948,1034,635,708,1007,1001,1412,1238,1503,1745,1319,1491,1250,1044,1307,1092,1247,1590,1092,1242,1060,907,1298,1886,963,1230,873,1307,1252,1235,1208,1102,967,1069,1099,1143,688,842,1322,1006,9994,8977,8064,5886,4900,3993,3039,2281,1593,643,10213,9425,8670,7968,7231,6519,5818,4950,4227,3148,1910,1278,11021,9960,9191,8321,7285,6346,5183,4114,3417,2363,1573,754,9358,8602,8070,7248,6595,5622,4968,4018,3029,2207,1556,615,8534,8028,7432,6732,6163,4834,3975,3157,2600,1975,1452,694,7208,6395,5823,5096,4403,3970,3552,2991,1990,1434,713,347,6548,6200,5631,5139,4577,4078,3453,2717,2075,1353,783,365,7178,6659,6244,5711,4747,3845,3269,2694,2098,1663,1038,362,6177,5947,5370,4842,4479,4095,3445,2926,1908,1688,791,470,6905,6399,6112,5782,5333,4476,3992,2847,2234,1436,824,411
Louisiana,West_South_Central,1270,1270,1351,1393,1234,991,1392,938,949,1170,1172,1439,1494,1873,1478,1617,1565,1614,1507,1407,1346,1460,1403,1519,1541,2224,1614,2481,1988,1411,1496,1514,1342,1556,1547,1609,1554,1751,1200,1208,1674,1274,1259,1099,1127,14017,12512,10993,9490,7907,6699,5473,4001,2483,1133,16117,15168,14235,12874,11512,9767,8091,6693,5056,3643,2211,1168,15232,14347,12120,11083,9950,8700,7488,6145,4872,3708,2258,1121,14678,13725,12742,11614,9821,8245,7281,5729,4559,3404,2148,1089,14548,13279,12303,11014,9771,8751,7874,6594,5434,4033,2753,1035,14858,13748,12895,11301,9854,8524,7223,6018,4797,3578,2344,1003,13964,12779,11780,10565,9442,8527,7416,6235,5020,3554,2323,1071,12741,11778,10602,9361,8333,7213,6168,5110,4006,2909,1900,889,11772,10935,10136,9305,8443,7373,6495,5302,3963,2867,1788,821,11515,10537,9746,8388,7438,6463,5625,4801,3900,2750,1548,724
Oklahoma,West_South_Central,1471,970,1929,1096,946,797,641,947,693,842,921,1161,909,1650,1411,1207,1481,1133,1258,1181,1074,1130,1253,1377,1222,1338,1232,1428,1577,1122,1270,1169,1109,1200,1431,1177,1254,1223,755,1059,1473,909,846,803,909,10744,9669,8350,7174,5885,5034,4058,3136,1836,740,10503,9879,9121,8013,7195,6342,5555,4676,3603,2653,1747,905,11168,10419,9607,8538,7768,6928,6230,5200,3855,2911,1920,964,12521,11832,11166,10231,9396,7459,6394,5289,4139,3034,2060,1035,11620,10618,9991,8985,7912,6639,5427,4549,3773,2900,1952,995,14184,12550,11703,10445,9221,8311,7333,6001,4608,3435,2092,1159,13417,12556,11514,10562,9464,8245,7073,6146,4952,3754,2456,1354,11616,10838,9883,8913,7657,6595,5788,4959,2926,2061,1384,756,8620,7758,6856,6297,5756,5190,4663,3715,2735,1744,1067,526,8267,7361,6885,6433,5916,5271,4569,3927,3185,2337,1378,545
Texas,West_South_Central,18897,20444,21978,17346,18896,17363,16847,15629,15117,21363,19444,20950,23914,26082,22918,25518,26723,20417,23155,20891,18004,18064,18003,23304,20762,23679,21683,24127,23649,18184,22260,20635,17953,19374,21319,18613,20183,17601,15919,16518,19293,16275,17885,14714,16880,171341,150744,134554,114840,95706,80518,61576,45735,28997,14258,188161,173565,158449,144151,130516,114887,98709,79200,63046,42835,27359,15207,169885,157227,143108,127756,115890,102500,90253,73411,58351,44840,28587,15236,162323,150987,137436,125150,111278,96083,81751,66428,51533,38297,24450,11879,173990,158665,145894,129418,115866,100938,85474,68397,55232,41115,26558,11515,166054,150092,139482,125690,112042,97070,83426,70217,54716,35839,24332,12373,146372,133966,123865,108104,95769,84709,72135,60879,48235,34862,22536,10962,133297,122522,112438,100717,91043,76876,64646,53273,41347,30618,19146,8766,94740,86768,80824,72451,64111,54343,46387,36349,28921,20379,11746,5310,84753,78496,72441,67618,61237,53090,45893,37847,30093,22169,12370,6137
Arizona,Mountain,5367,3840,4534,4268,6525,4600,2033,5252,2931,3871,4020,4603,5509,5537,5264,5268,7221,5522,5727,5858,5418,4986,4306,4939,5935,5996,5349,6384,5173,5484,5096,6350,4580,5352,4340,4669,5758,5394,3128,3316,4463,4851,5080,3779,4175,37453,33450,30277,26197,22234,18100,14155,9370,5671,2641,41154,37986,35413,32760,29343,25467,21445,17780,14183,9775,6580,3531,37981,34990,32110,28289,25191,21147,18666,15340,11660,8405,4807,2484,35900,32372,29418,27156,23679,21002,18558,13840,10290,7718,5167,2773,30836,28151,26029,23411,21162,17977,15089,11987,9693,6662,3932,1712,27254,24333,23042,21146,19290,17261,14999,12544,10060,7336,4198,1735,23765,20970,19769,18103,16723,14683,12448,10365,7657,5168,3337,1780,21693,19459,17631,15887,14282,12197,10195,8544,6650,4747,3382,1204,12605,11981,10873,9946,8746,7330,6005,4850,3925,2961,1735,697,12235,11500,10817,10035,8973,8048,7182,6091,5152,4046,2370,1258
Colorado,Mountain,2737,3515,4311,3857,3580,3247,3235,2943,2602,2919,3671,3927,3967,4961,4583,4201,5711,4475,4122,5694,4990,4721,5444,5793,4749,4955,4380,5514,4823,3625,4807,5336,3690,4982,4619,4673,4117,3644,2604,3284,3748,3121,3242,4037,3606,34362,30282,27083,23645,19555,15656,12472,8804,5647,3026,45481,41179,37503,34607,30262,26995,23943,20297,16524,13397,8063,3875,41911,39142,35453,32342,29434,24563,21489,16171,13281,9113,6096,3146,38393,35428,30949,26760,23153,20541,17723,14034,10228,7187,4427,2149,31071,27775,25285,23163,20474,17631,14984,11614,9002,6103,3335,1489,29212,27339,25490,22455,19723,17119,14145,11589,9396,6808,3678,1539,27296,25035,22955,20511,18625,15728,13429,11066,8499,6727,3941,1878,23377,20776,18401,16762,15091,12370,10194,7915,6002,3619,1839,989,13831,12758,11814,10412,9090,7403,5894,4727,3630,2488,1223,643,11779,10718,9958,9185,7826,6938,6050,5089,4263,3137,1689,673
Idaho,Mountain,1599,1687,1765,1450,1297,1060,922,644,1229,1057,1128,1589,1499,2145,2160,1994,2509,1802,1264,1467,1400,1656,1683,1614,1522,1916,1489,1704,2052,1438,1369,1637,1490,1502,1585,1424,1399,1441,1268,1055,1373,1244,1424,1248,1383,14359,12761,11514,9327,7651,6332,4510,3101,1686,880,15229,14337,13121,11779,10370,8902,7414,6010,4695,3633,2125,911,13348,12320,11266,9832,8683,6975,6051,4655,3442,2273,1246,413,11476,10924,10050,9150,8299,7011,5897,4856,3494,2416,1499,709,9370,8707,7965,7217,6380,5525,4601,3776,2880,1800,1065,442,9131,8533,7934,6992,6276,5409,4651,3817,2769,1947,1106,446,8847,8042,7420,6510,5620,4886,4057,3249,2262,1516,920,350,6753,6351,5773,5258,4717,3928,3198,2571,1825,1169,679,322,3946,3749,3462,3148,2687,2234,1833,1364,982,715,426,173,4584,4428,3951,3619,3359,3115,2806,2254,1807,1286,698,354
Montana,Mountain,520,443,573,354,468,380,225,466,188,595,512,483,440,895,531,566,566,617,401,524,801,600,505,511,580,914,395,474,652,222,241,580,274,353,408,527,462,305,471,317,323,273,299,189,242,3075,2826,2450,2110,1688,1320,1004,710,423,280,3998,3714,3475,3078,2681,2369,1873,1437,1057,612,317,138,4424,4269,4021,3563,3194,2838,2455,1623,1248,856,345,134,4086,3853,3626,3190,2421,2007,1692,1320,941,592,340,160,3853,3427,3204,2569,2199,1919,1622,1296,926,668,392,136,3449,3109,2904,2496,2161,1830,1347,1025,709,382,198,120,4103,4021,3467,3184,3001,2289,1747,1443,1041,723,363,159,2873,2769,2515,2245,1954,1403,1195,982,795,472,210,90,2038,1920,1803,1447,1275,1066,916,555,393,290,135,57,2196,2080,1941,1768,1517,1306,1038,842,656,415,218,100
Nevada,Mountain,1766,1528,2224,1245,1781,1041,1476,883,1171,1250,1659,1267,1174,1938,1641,2634,2263,1833,2608,1784,2266,1770,1666,2182,1795,1770,1712,2156,2184,2129,2029,2141,1943,1483,2006,1514,1962,1437,1122,1032,1712,1800,1610,1276,1087,16567,14868,13488,12084,10222,6930,5257,3910,2810,1204,17543,16400,14767,13002,11859,10337,9068,7907,5820,4284,2715,1189,19376,17882,15845,14251,13319,11279,9703,7828,5641,3715,2423,1314,17951,15716,14613,13571,12407,11223,9802,8276,6187,4611,3301,1213,14076,13000,11858,10624,9831,8795,7532,5960,4536,3412,2125,640,13174,12294,11136,9987,8830,7603,6123,5052,3911,2736,1636,676,11232,10638,9988,9194,8379,7048,6353,4803,3524,2396,1391,758,9034,8400,7657,6959,6105,5404,4658,3504,2717,1948,985,428,6084,5567,5208,4905,4552,4089,3727,2531,1928,1496,955,643,6402,5857,5617,5187,4890,4422,4019,3268,2767,2071,1207,573
New_Mexico,Mountain,682,834,658,680,894,397,581,471,439,591,644,616,668,758,1004,1005,845,462,531,759,468,527,668,595,759,721,569,724,660,715,414,391,407,503,445,491,455,460,310,361,431,374,371,308,471,4211,3612,3254,2779,2319,1906,1485,1003,738,349,5029,4681,4360,3942,3633,3222,2809,2313,1888,1458,828,393,4755,4349,4115,3696,3342,2927,2435,1851,1401,1015,616,280,4856,4550,3991,3719,3309,2766,2484,2024,1608,1229,848,481,4575,4170,3898,3607,3279,2927,2527,2087,1664,899,533,275,4799,4472,4139,3255,2986,2526,2200,1856,1506,1185,732,448,4987,4714,4386,3771,3395,2823,2478,1979,1593,1233,891,501,4871,4578,4254,3867,3313,2881,2425,2042,1604,1250,594,282,4032,3836,3580,3269,2956,2306,1985,1559,1179,764,451,235,4511,4211,3937,3652,3337,3016,2503,2097,1625,1173,639,277
Utah,Mountain,2254,2416,2091,1804,1928,2342,1776,1907,1491,1704,2232,2175,2435,3106,2890,3193,3811,3496,3022,3290,3043,2395,3423,3867,3839,4069,3538,4266,3686,2867,2811,2561,2783,3005,2363,2930,2522,2305,2226,2228,3056,1877,2088,1559,2584,23766,20720,18232,15526,12862,10061,7337,4812,3132,1594,26232,24139,22284,19970,18023,15604,13764,11240,8770,7097,4487,2363,24386,23404,21192,18656,16746,14142,11354,9434,7447,5304,2838,1380,22935,21456,19400,16633,14667,12641,10933,8226,6232,4373,2492,1268,19034,17874,16260,14780,12983,11089,9246,6586,4949,3093,1760,806,16645,15786,13993,12327,10616,9358,8122,6751,5310,4048,2745,1241,15602,14118,13024,11502,10393,8461,7039,5670,4219,2967,1553,720,12520,11803,10342,9170,8098,6881,5788,4502,3305,2628,1516,643,9793,9062,8010,7025,6340,4994,4126,2868,1982,1491,874,421,9441,8774,7962,7444,6632,5473,4873,4273,3139,2206,1209,498
Wyoming,Mountain,124,162,183,129,157,77,68,82,133,556,187,399,289,269,236,227,239,244,151,150,188,195,187,277,247,283,185,256,187,146,184,214,144,132,196,163,231,190,165,218,123,103,103,68,113,1462,1303,1145,988,915,730,508,347,221,103,1727,1654,1463,1269,1140,1060,875,672,488,345,183,76,1899,1714,1546,1401,1211,1032,888,702,522,326,181,63,1665,1582,1461,1316,1163,1033,888,704,472,319,180,93,1860,1755,1631,1507,1364,1220,997,775,612,342,168,70,1773,1684,1556,1418,1303,1167,901,732,543,271,188,69,2193,2102,1957,1787,1574,1370,1183,923,584,366,217,74,1877,1710,1597,1488,1303,972,828,685,501,462,186,84,1944,1825,1467,1366,1164,982,851,548,391,272,158,84,2126,2059,1873,1658,1536,1468,1272,1066,809,628,455,68
Alaska,Pacific,111,94,55,41,122,80,101,70,68,89,131,134,110,128,148,152,149,128,109,106,114,125,132,145,146,157,138,166,145,115,111,135,124,149,142,162,135,147,113,98,42,114,109,117,115,1461,1326,1132,947,769,628,435,288,178,90,1698,1564,1460,1333,1200,1032,896,674,488,359,220,111,1553,1448,1332,1193,1084,917,793,609,445,263,160,70,1503,1418,1317,1190,1016,891,771,637,465,309,193,90,1291,1208,1132,973,857,739,617,455,333,200,116,54,1509,1431,1370,1218,1035,917,609,493,342,210,116,79,1081,1033,975,893,758,670,573,450,328,201,111,56,995,979,910,810,680,599,491,329,229,127,72,34,868,841,806,736,658,575,467,372,289,136,95,54,904,871,835,783,697,574,480,372,215,115,69,24
California,Pacific,8190,13326,10066,9186,7410,8275,7138,8220,6800,7282,10242,11045,7663,12675,10263,10615,10883,9130,8276,10973,8721,10997,8736,9869,9714,10796,9922,10560,11644,7897,9729,12584,8367,8670,9476,8190,10350,8844,6705,5987,7949,8759,8673,11523,7630,89833,80046,70112,61449,51178,42480,32798,23819,15853,9373,117079,106867,98942,90074,82886,73325,63772,49885,38433,28352,16958,8730,113320,101657,93260,83101,74493,64938,56066,40972,31141,21872,11543,5376,100265,89832,82121,74140,65520,56435,50750,41746,31040,22822,15090,6962,95955,87191,79064,73260,65465,58818,50711,39680,32213,23632,14488,7312,82925,75908,68152,59547,53199,47936,40221,32968,26204,17240,10366,4221,79028,70356,63374,56545,51168,45561,37531,31229,23604,15829,11661,4972,58540,52114,48380,43292,37886,32611,26670,20683,15066,11860,5427,2116,45335,40361,35819,32852,29711,25674,22964,17684,12981,9159,4745,2486,43128,36943,34157,31195,28444,24814,21178,16774,13520,10168,6518,3022
Hawaii,Pacific,306,335,224,341,300,203,176,189,532,829,479,228,244,254,193,228,721,236,305,276,456,267,558,203,332,238,226,290,254,293,339,383,385,373,150,286,261,366,258,241,343,182,151,342,179,3901,3229,2859,2552,2282,1944,1078,925,678,432,4178,4050,3780,3404,2917,2585,2315,1851,1545,1280,925,224,4035,3740,3517,3104,2287,2022,1746,1388,1006,755,452,252,3375,3190,2894,2716,2381,2142,1876,1107,955,646,439,173,5422,4739,4547,3917,3743,2937,2684,2305,1993,1398,1247,743,3066,2342,2063,1835,1716,1502,1223,906,698,451,303,140,3866,3551,3333,2955,2096,1866,1647,1462,1231,1006,662,462,3210,2806,2793,2356,2070,1976,1660,1166,990,715,317,209,2857,2659,2286,2156,1435,1303,1334,960,814,487,340,116,3430,3255,3090,2916,2635,2329,2185,2020,1549,1354,896,135
Oregon,Pacific,1525,1513,1602,1840,1442,1519,1484,1735,946,1211,2335,1446,2064,1927,1448,1801,1690,1962,1333,1601,1629,1560,1509,1722,2132,1555,1819,2070,2452,1474,1072,1564,1377,1681,1004,1697,1421,1511,1268,1800,2143,888,1058,1821,1124,17780,15364,13417,11563,9708,8324,6720,4919,2683,1255,19529,17989,15992,13750,12324,10917,9624,8236,6774,5189,3572,1905,19886,18166,16470,14841,13449,10752,8927,7026,5196,4106,2579,1464,18969,17918,16428,14855,13347,11315,9129,7698,5881,4334,2501,1233,16959,15822,14448,12266,10627,9001,7564,5715,4435,3253,2222,798,16532,15575,14591,12487,10869,9395,7808,6536,4403,2841,1984,1236,14969,13969,12773,11550,10680,9441,7383,6212,5119,3496,2325,1029,11222,10361,9444,8260,7139,6074,4934,4130,2913,1997,1254,641,7931,7151,6604,5761,4992,4394,3589,2875,2367,1860,949,466,7302,6624,6159,5662,5091,4242,3947,3064,2474,1756,1040,488
Washington,Pacific,2663,3177,3955,2818,3393,4205,2258,3445,3076,3072,3327,4079,4113,5423,4261,4127,5369,4316,4018,5290,5124,4987,3701,6349,4566,3889,4123,4277,4897,4629,4205,4302,3669,3531,4466,3537,3574,3398,4557,2716,3876,3293,3615,4441,5169,39439,36132,31810,27443,23157,19432,15050,9906,5569,2875,47356,43336,38510,34217,30775,25479,22469,18087,14833,10637,5763,2838,45780,42603,38345,33499,29815,24653,21279,17020,13186,9376,5904,2777,43239,39523,36046,31941,27066,23837,20459,15946,12098,8506,4946,2609,39963,37660,34957,32004,28216,23932,21009,17158,13740,10663,6991,3212,33320,30647,28012,25170,21976,18903,15726,12953,9722,6369,3935,1769,31664,29400,26202,23416,20758,17960,15188,12487,9305,7044,4524,2368,28103,26055,23399,20800,18292,15386,13018,10064,7447,5411,2663,1138,20588,18973,17353,16064,14337,11922,10106,8341,5923,3635,2192,1090,20235,18507,17364,15654,14480,12051,10480,8376,6460,4874,3090,1653
