Division,State,2023-07,2023-06,2023-05,2023-04,2023-03,2023-02,2023-01,2022-12,2022-11,2022-10,2022-09,2022-08,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02,2022-01,2021-12,2021-11,2021-10,2021-09,2021-08,2021-07,2021-06,2021-05,2021-04,2021-03,2021-02,2021-01,2020-12,2020-11,2020-10,2020-09,2020-08,2020-07,2020-06,2020-05,2020-04,2020-03,2020-02,2020-01,2019-12,2019-11,2019-10,2019-09,2019-08,2019-07,2019-06,2019-05,2019-04,2019-03,2019-02,2019-01,2018-12,2018-11,2018-10,2018-09,2018-08,2018-07,2018-06,2018-05,2018-04,2018-03,2018-02,2018-01,2017-12,2017-11,2017-10,2017-09,2017-08,2017-07,2017-06,2017-05,2017-04,2017-03,2017-02,2017-01,2016-12,2016-11,2016-10,2016-09,2016-08,2016-07,2016-06,2016-05,2016-04,2016-03,2016-02,2016-01,2015-12,2015-11,2015-10,2015-09,2015-08,2015-07,2015-06,2015-05,2015-04,2015-03,2015-02,2015-01,2014-12,2014-11,2014-10,2014-09,2014-08,2014-07,2014-06,2014-05,2014-04,2014-03,2014-02,2014-01,2013-12,2013-11,2013-10,2013-09,2013-08,2013-07,2013-06,2013-05,2013-04,2013-03,2013-02,2013-01,2012-12,2012-11,2012-10,2012-09,2012-08,2012-07,2012-06,2012-05,2012-04,2012-03,2012-02,2012-01,2011-12,2011-11,2011-10,2011-09,2011-08,2011-07,2011-06,2011-05,2011-04,2011-03,2011-02,2011-01,2010-12,2010-11,2010-10,2010-09,2010-08,2010-07,2010-06,2010-05,2010-04,2010-03,2010-02,2010-01,2009-12,2009-11,2009-10,2009-09,2009-08,2009-07,2009-06,2009-05,2009-04,2009-03,2009-02,2009-01,2008-12,2008-11,2008-10,2008-09,2008-08,2008-07,2008-06,2008-05,2008-04,2008-03,2008-02,2008-01,2007-12,2007-11,2007-10,2007-09,2007-08,2007-07,2007-06,2007-05,2007-04,2007-03,2007-02,2007-01,2006-12,2006-11,2006-10,2006-09,2006-08,2006-07,2006-06,2006-05,2006-04,2006-03,2006-01,2005-12,2005-11,2005-10,2005-09,2005-08,2005-07,2005-06,2005-05,2005-04,2005-03,2005-02,2005-01,2004-12,2004-11,2004-10,2004-09,2004-08,2004-07,2004-06,2004-05,2004-04,2004-03,2004-02,2004-01,2003-12,2003-11,2003-10,2003-09,2003-08,2003-07,2003-06,2003-05,2003-04,2003-03,2003-02,2003-01,2002-12,2002-11,2002-10,2002-09,2002-08,2002-07,2002-06,2002-05,2002-04,2002-03,2002-02,2002-01,2001-12,2001-11,2001-10,2001-09,2001-08,2001-07,2001-06,2001-05,2001-04,2001-03,2001-02,2001-01,2000-12,2000-11,2000-10,2000-09,2000-08,2000-07,2000-06,2000-05,2000-04,2000-03,2000-02,2000-01,1999-12,1999-11,1999-10,1999-09,1999-08,1999-07,1999-06,1999-05,1999-04,1999-03,1999-02,1999-01,1998-12,1998-11,1998-10,1998-09,1998-08,1998-07,1998-06,1998-05,1998-04,1998-03,1998-02,1998-01,1997-12,1997-11,1997-10,1997-09,1997-08,1997-07,1997-06,1997-05,1997-04,1997-03,1997-02,1997-01,1996-12,1996-11,1996-10,1996-09,1996-08,1996-07,1996-06,1996-05,1996-04,1996-03,1996-02,1996-01,1995-12,1995-11,1995-10,1995-09,1995-08,1995-07,1995-06,1995-05,1995-04,1995-03,1995-02,1995-01,2006-02
New_England,Connecticut,302,427,548,289,542,493,682,525,492,410,384,396,743,394,342,406,351,347,454,495,445,336,380,299,294,363,329,690,564,276,241,395,446,500,820,566,501,382,661,401,643,442,278,444,561,3269.0,2205.0,3010.0,2787.0,2684.0,2312.0,2605.0,2613.0,1871.0,1932.0,2492.0,2177.0,2903.0,2137.0,2240.0,2486.0,3184.0,3751.0,1865.0,2362.0,2100.0,2352.0,3220.0,2353.0,2980.0,3073.0,2839.0,3409.0,3297.0,3196.0,2123.0,3306.0,1447.0,1631.0,2093.0,2274.0,2587.0,3575.0,2486.0,2544.0,3150.0,2520,2530,2348,1695,1375,2659,2656,2831,3560,2656,2752,3346,3952,2211,2539,1102,2453,1799,2298,2435,2376,2501,2753,3650,2475,2085,1593,1433,1999,2377,1803,2324,2339,2634,3140,3126,2435,2114,2060,1433,1407,2054,1928,2022,1836,2501,1781,2221,2221,1918,1389,1807,933,1608,1635,1525,1673,1326,1370,1880,1777,1249,1157,916,790,1573,1721,1577,1993,1609,1814,2489,1607,1772,1307,1725,1044,1678,1303,1709,1482,1580,1692,1635,1578,1277,1072,1484,683,1254,1439,1652,2081,1715,2181,4119,2489,2284,2212,1173,1751,2023,2329,2865,2746,3113,3857,3333,3944,3275,2949,2094,3374,3371,3205,3852,3813,4001,3868,4935,4518,4894,4988,3087,4971,4373,4749,5321,5256,5196,6183,5842,4602,4550,2704,3329,,,,,,,,,,,,,3849,3885,5455,4118,4952,4872,4898,4476,4403,3048,2362,2527,3299,3258,4259,3947,4129,4970,4773,4913,4393,3469,2911,2852,2851,3480,3689,3373,4400,4503,4137,4353,3633,2689,2897,2781,2674,3746,3696,3610,4031,4432,4304,4242,3962,3999,2287,2752,3521,3838,3867,3789,4254,4768,5143,4235,4729,3999,2671,2565,3744,3546,4304,4529,4003,4877,4697,4174,4063,3652,2638,3115,3005,3231,3767,3648,4374,4205,4238,3795,3820,3256,2123,2585,3086,3359,4134,3557,4184,3899,3974,4249,3746,2938,1806,1493,2560,3347,3425,3339,3892,3290,3543,3605,3712,3084,1569,1991,3091
New_England,Maine,503,613,699,596,476,266,255,333,369,399,488,564,551,593,639,655,414,871,437,622,448,499,485,653,764,803,745,651,499,275,458,375,408,607,686,515,566,607,396,481,378,254,234,189,277,3269.0,2205.0,3010.0,2787.0,2684.0,2312.0,2605.0,2613.0,1871.0,1932.0,2492.0,2177.0,2903.0,2137.0,2240.0,2486.0,3184.0,3751.0,1865.0,2362.0,2100.0,2352.0,3220.0,2353.0,2980.0,3073.0,2839.0,3409.0,3297.0,3196.0,2123.0,3306.0,1447.0,1631.0,2093.0,2274.0,2587.0,3575.0,2486.0,2544.0,3150.0,2520,2530,2348,1695,1375,2659,2656,2831,3560,2656,2752,3346,3952,2211,2539,1102,2453,1799,2298,2435,2376,2501,2753,3650,2475,2085,1593,1433,1999,2377,1803,2324,2339,2634,3140,3126,2435,2114,2060,1433,1407,2054,1928,2022,1836,2501,1781,2221,2221,1918,1389,1807,933,1608,1635,1525,1673,1326,1370,1880,1777,1249,1157,916,790,1573,1721,1577,1993,1609,1814,2489,1607,1772,1307,1725,1044,1678,1303,1709,1482,1580,1692,1635,1578,1277,1072,1484,683,1254,1439,1652,2081,1715,2181,4119,2489,2284,2212,1173,1751,2023,2329,2865,2746,3113,3857,3333,3944,3275,2949,2094,3374,3371,3205,3852,3813,4001,3868,4935,4518,4894,4988,3087,4971,4373,4749,5321,5256,5196,6183,5842,4602,4550,2704,3329,,,,,,,,,,,,,3849,3885,5455,4118,4952,4872,4898,4476,4403,3048,2362,2527,3299,3258,4259,3947,4129,4970,4773,4913,4393,3469,2911,2852,2851,3480,3689,3373,4400,4503,4137,4353,3633,2689,2897,2781,2674,3746,3696,3610,4031,4432,4304,4242,3962,3999,2287,2752,3521,3838,3867,3789,4254,4768,5143,4235,4729,3999,2671,2565,3744,3546,4304,4529,4003,4877,4697,4174,4063,3652,2638,3115,3005,3231,3767,3648,4374,4205,4238,3795,3820,3256,2123,2585,3086,3359,4134,3557,4184,3899,3974,4249,3746,2938,1806,1493,2560,3347,3425,3339,3892,3290,3543,3605,3712,3084,1569,1991,3091
New_England,Massachusetts,1201,1355,1481,819,1475,1165,1088,1510,1293,1056,1611,1083,1650,2200,1482,1960,1795,2127,1173,2673,1047,1021,1828,1173,1341,1445,1840,2179,1488,1062,1246,1762,1677,1135,1404,979,1515,1760,1347,548,1105,850,1806,1410,1415,3269.0,2205.0,3010.0,2787.0,2684.0,2312.0,2605.0,2613.0,1871.0,1932.0,2492.0,2177.0,2903.0,2137.0,2240.0,2486.0,3184.0,3751.0,1865.0,2362.0,2100.0,2352.0,3220.0,2353.0,2980.0,3073.0,2839.0,3409.0,3297.0,3196.0,2123.0,3306.0,1447.0,1631.0,2093.0,2274.0,2587.0,3575.0,2486.0,2544.0,3150.0,2520,2530,2348,1695,1375,2659,2656,2831,3560,2656,2752,3346,3952,2211,2539,1102,2453,1799,2298,2435,2376,2501,2753,3650,2475,2085,1593,1433,1999,2377,1803,2324,2339,2634,3140,3126,2435,2114,2060,1433,1407,2054,1928,2022,1836,2501,1781,2221,2221,1918,1389,1807,933,1608,1635,1525,1673,1326,1370,1880,1777,1249,1157,916,790,1573,1721,1577,1993,1609,1814,2489,1607,1772,1307,1725,1044,1678,1303,1709,1482,1580,1692,1635,1578,1277,1072,1484,683,1254,1439,1652,2081,1715,2181,4119,2489,2284,2212,1173,1751,2023,2329,2865,2746,3113,3857,3333,3944,3275,2949,2094,3374,3371,3205,3852,3813,4001,3868,4935,4518,4894,4988,3087,4971,4373,4749,5321,5256,5196,6183,5842,4602,4550,2704,3329,,,,,,,,,,,,,3849,3885,5455,4118,4952,4872,4898,4476,4403,3048,2362,2527,3299,3258,4259,3947,4129,4970,4773,4913,4393,3469,2911,2852,2851,3480,3689,3373,4400,4503,4137,4353,3633,2689,2897,2781,2674,3746,3696,3610,4031,4432,4304,4242,3962,3999,2287,2752,3521,3838,3867,3789,4254,4768,5143,4235,4729,3999,2671,2565,3744,3546,4304,4529,4003,4877,4697,4174,4063,3652,2638,3115,3005,3231,3767,3648,4374,4205,4238,3795,3820,3256,2123,2585,3086,3359,4134,3557,4184,3899,3974,4249,3746,2938,1806,1493,2560,3347,3425,3339,3892,3290,3543,3605,3712,3084,1569,1991,3091
New_England,New_Hampshire,306,525,472,397,258,222,269,292,319,311,397,498,378,418,369,373,358,296,231,249,288,282,342,425,426,468,571,419,456,260,216,342,448,319,394,346,343,391,242,231,290,277,231,202,304,3269.0,2205.0,3010.0,2787.0,2684.0,2312.0,2605.0,2613.0,1871.0,1932.0,2492.0,2177.0,2903.0,2137.0,2240.0,2486.0,3184.0,3751.0,1865.0,2362.0,2100.0,2352.0,3220.0,2353.0,2980.0,3073.0,2839.0,3409.0,3297.0,3196.0,2123.0,3306.0,1447.0,1631.0,2093.0,2274.0,2587.0,3575.0,2486.0,2544.0,3150.0,2520,2530,2348,1695,1375,2659,2656,2831,3560,2656,2752,3346,3952,2211,2539,1102,2453,1799,2298,2435,2376,2501,2753,3650,2475,2085,1593,1433,1999,2377,1803,2324,2339,2634,3140,3126,2435,2114,2060,1433,1407,2054,1928,2022,1836,2501,1781,2221,2221,1918,1389,1807,933,1608,1635,1525,1673,1326,1370,1880,1777,1249,1157,916,790,1573,1721,1577,1993,1609,1814,2489,1607,1772,1307,1725,1044,1678,1303,1709,1482,1580,1692,1635,1578,1277,1072,1484,683,1254,1439,1652,2081,1715,2181,4119,2489,2284,2212,1173,1751,2023,2329,2865,2746,3113,3857,3333,3944,3275,2949,2094,3374,3371,3205,3852,3813,4001,3868,4935,4518,4894,4988,3087,4971,4373,4749,5321,5256,5196,6183,5842,4602,4550,2704,3329,,,,,,,,,,,,,3849,3885,5455,4118,4952,4872,4898,4476,4403,3048,2362,2527,3299,3258,4259,3947,4129,4970,4773,4913,4393,3469,2911,2852,2851,3480,3689,3373,4400,4503,4137,4353,3633,2689,2897,2781,2674,3746,3696,3610,4031,4432,4304,4242,3962,3999,2287,2752,3521,3838,3867,3789,4254,4768,5143,4235,4729,3999,2671,2565,3744,3546,4304,4529,4003,4877,4697,4174,4063,3652,2638,3115,3005,3231,3767,3648,4374,4205,4238,3795,3820,3256,2123,2585,3086,3359,4134,3557,4184,3899,3974,4249,3746,2938,1806,1493,2560,3347,3425,3339,3892,3290,3543,3605,3712,3084,1569,1991,3091
New_England,Rhode_Island,82,140,131,88,101,87,79,85,66,84,136,123,92,100,128,121,84,88,98,137,131,114,87,141,104,182,120,152,131,96,103,119,117,115,136,122,89,151,98,74,97,89,91,113,91,3269.0,2205.0,3010.0,2787.0,2684.0,2312.0,2605.0,2613.0,1871.0,1932.0,2492.0,2177.0,2903.0,2137.0,2240.0,2486.0,3184.0,3751.0,1865.0,2362.0,2100.0,2352.0,3220.0,2353.0,2980.0,3073.0,2839.0,3409.0,3297.0,3196.0,2123.0,3306.0,1447.0,1631.0,2093.0,2274.0,2587.0,3575.0,2486.0,2544.0,3150.0,2520,2530,2348,1695,1375,2659,2656,2831,3560,2656,2752,3346,3952,2211,2539,1102,2453,1799,2298,2435,2376,2501,2753,3650,2475,2085,1593,1433,1999,2377,1803,2324,2339,2634,3140,3126,2435,2114,2060,1433,1407,2054,1928,2022,1836,2501,1781,2221,2221,1918,1389,1807,933,1608,1635,1525,1673,1326,1370,1880,1777,1249,1157,916,790,1573,1721,1577,1993,1609,1814,2489,1607,1772,1307,1725,1044,1678,1303,1709,1482,1580,1692,1635,1578,1277,1072,1484,683,1254,1439,1652,2081,1715,2181,4119,2489,2284,2212,1173,1751,2023,2329,2865,2746,3113,3857,3333,3944,3275,2949,2094,3374,3371,3205,3852,3813,4001,3868,4935,4518,4894,4988,3087,4971,4373,4749,5321,5256,5196,6183,5842,4602,4550,2704,3329,,,,,,,,,,,,,3849,3885,5455,4118,4952,4872,4898,4476,4403,3048,2362,2527,3299,3258,4259,3947,4129,4970,4773,4913,4393,3469,2911,2852,2851,3480,3689,3373,4400,4503,4137,4353,3633,2689,2897,2781,2674,3746,3696,3610,4031,4432,4304,4242,3962,3999,2287,2752,3521,3838,3867,3789,4254,4768,5143,4235,4729,3999,2671,2565,3744,3546,4304,4529,4003,4877,4697,4174,4063,3652,2638,3115,3005,3231,3767,3648,4374,4205,4238,3795,3820,3256,2123,2585,3086,3359,4134,3557,4184,3899,3974,4249,3746,2938,1806,1493,2560,3347,3425,3339,3892,3290,3543,3605,3712,3084,1569,1991,3091
New_England,Vermont,198,229,210,165,328,84,71,108,119,117,207,174,261,232,184,194,172,119,105,239,135,198,172,171,141,188,200,262,197,97,92,123,166,128,172,128,220,234,138,119,213,102,83,58,73,3269.0,2205.0,3010.0,2787.0,2684.0,2312.0,2605.0,2613.0,1871.0,1932.0,2492.0,2177.0,2903.0,2137.0,2240.0,2486.0,3184.0,3751.0,1865.0,2362.0,2100.0,2352.0,3220.0,2353.0,2980.0,3073.0,2839.0,3409.0,3297.0,3196.0,2123.0,3306.0,1447.0,1631.0,2093.0,2274.0,2587.0,3575.0,2486.0,2544.0,3150.0,2520,2530,2348,1695,1375,2659,2656,2831,3560,2656,2752,3346,3952,2211,2539,1102,2453,1799,2298,2435,2376,2501,2753,3650,2475,2085,1593,1433,1999,2377,1803,2324,2339,2634,3140,3126,2435,2114,2060,1433,1407,2054,1928,2022,1836,2501,1781,2221,2221,1918,1389,1807,933,1608,1635,1525,1673,1326,1370,1880,1777,1249,1157,916,790,1573,1721,1577,1993,1609,1814,2489,1607,1772,1307,1725,1044,1678,1303,1709,1482,1580,1692,1635,1578,1277,1072,1484,683,1254,1439,1652,2081,1715,2181,4119,2489,2284,2212,1173,1751,2023,2329,2865,2746,3113,3857,3333,3944,3275,2949,2094,3374,3371,3205,3852,3813,4001,3868,4935,4518,4894,4988,3087,4971,4373,4749,5321,5256,5196,6183,5842,4602,4550,2704,3329,,,,,,,,,,,,,3849,3885,5455,4118,4952,4872,4898,4476,4403,3048,2362,2527,3299,3258,4259,3947,4129,4970,4773,4913,4393,3469,2911,2852,2851,3480,3689,3373,4400,4503,4137,4353,3633,2689,2897,2781,2674,3746,3696,3610,4031,4432,4304,4242,3962,3999,2287,2752,3521,3838,3867,3789,4254,4768,5143,4235,4729,3999,2671,2565,3744,3546,4304,4529,4003,4877,4697,4174,4063,3652,2638,3115,3005,3231,3767,3648,4374,4205,4238,3795,3820,3256,2123,2585,3086,3359,4134,3557,4184,3899,3974,4249,3746,2938,1806,1493,2560,3347,3425,3339,3892,3290,3543,3605,3712,3084,1569,1991,3091
Middle_Atlantic,New_Jersey,2625,2515,3757,2194,3498,1862,2482,3354,2792,1741,2536,2389,3537,3636,2239,3346,4179,2838,2932,4530,3278,3013,2483,3039,2740,2935,3108,3535,2916,2159,3309,3112,3198,3367,3286,2268,2920,3329,1821,1227,2762,1757,2407,2690,3175,9665.0,8038.0,10046.0,8342.0,9086.0,6882.0,7588.0,6842.0,6130.0,7167.0,6608.0,7273.0,7892.0,6028.0,6748.0,8652.0,8312.0,9756.0,5973.0,8108.0,6097.0,5148.0,8694.0,6960.0,7511.0,7959.0,7293.0,7264.0,7684.0,8488.0,7528.0,7514.0,4907.0,8005.0,7372.0,6501.0,6225.0,8578.0,7622.0,5892.0,9187.0,6578,5962,5619,5630,3647,14057,7094,7885,6943,6912,7994,27759,21649,13986,7699,4088,5039,6264,6365,5822,8729,6526,8907,7274,7893,7574,8656,4430,4091,7438,6160,6846,6279,8397,7704,8047,7267,6564,5124,3499,5217,5711,4135,5594,5451,5243,6286,6604,5053,5729,4390,3737,3822,3954,4652,4054,4158,4504,3624,6309,5458,3679,3534,2706,3793,7098,3573,4623,5048,4697,4382,6752,4294,4423,4306,3121,3002,5228,3752,3957,4402,4182,4116,4824,3508,3715,3266,2503,2806,3357,3479,5142,6104,5468,7709,25552,10100,7406,6139,5184,6256,7869,7703,10357,8568,10984,10558,12261,10150,10312,10145,6114,8746,9141,8448,10250,10013,11955,10523,13024,11912,10721,12403,9299,9919,12177,11283,13040,12741,12781,16034,12450,13229,10591,8308,7752,,,,,,,,,,,,,10833,9543,12426,10258,12305,10991,10791,11616,10170,8640,7076,6737,8980,8719,10998,10664,10344,11776,11591,12127,10455,8049,8217,7279,8227,9033,10425,8103,10445,10486,10299,10061,9651,9401,7591,5852,7029,9909,9876,9995,9782,9496,11390,10832,10204,10084,6855,7721,8269,9235,8425,9120,10646,9792,12874,9988,10359,10028,6825,6430,8442,9300,11245,9855,9188,9996,11366,8525,8822,8056,6038,6437,7677,7299,8301,8689,8165,9128,9331,8803,8533,8026,6000,5638,6690,7440,9678,8296,9850,9609,9092,10058,9170,7573,4169,4029,5372,6899,8271,7510,8002,7184,8509,8438,7553,7154,3950,4556,8763
Middle_Atlantic,New_York,1912,2346,2586,2011,3888,1855,1258,2411,2140,2304,2684,4255,3702,5419,3325,3674,5928,2969,3085,3459,4462,3122,2653,4764,3007,4505,3573,3008,2759,2956,3951,3941,3682,3375,3996,3050,3775,3832,2500,1077,1949,2180,4991,4560,5323,9665.0,8038.0,10046.0,8342.0,9086.0,6882.0,7588.0,6842.0,6130.0,7167.0,6608.0,7273.0,7892.0,6028.0,6748.0,8652.0,8312.0,9756.0,5973.0,8108.0,6097.0,5148.0,8694.0,6960.0,7511.0,7959.0,7293.0,7264.0,7684.0,8488.0,7528.0,7514.0,4907.0,8005.0,7372.0,6501.0,6225.0,8578.0,7622.0,5892.0,9187.0,6578,5962,5619,5630,3647,14057,7094,7885,6943,6912,7994,27759,21649,13986,7699,4088,5039,6264,6365,5822,8729,6526,8907,7274,7893,7574,8656,4430,4091,7438,6160,6846,6279,8397,7704,8047,7267,6564,5124,3499,5217,5711,4135,5594,5451,5243,6286,6604,5053,5729,4390,3737,3822,3954,4652,4054,4158,4504,3624,6309,5458,3679,3534,2706,3793,7098,3573,4623,5048,4697,4382,6752,4294,4423,4306,3121,3002,5228,3752,3957,4402,4182,4116,4824,3508,3715,3266,2503,2806,3357,3479,5142,6104,5468,7709,25552,10100,7406,6139,5184,6256,7869,7703,10357,8568,10984,10558,12261,10150,10312,10145,6114,8746,9141,8448,10250,10013,11955,10523,13024,11912,10721,12403,9299,9919,12177,11283,13040,12741,12781,16034,12450,13229,10591,8308,7752,,,,,,,,,,,,,10833,9543,12426,10258,12305,10991,10791,11616,10170,8640,7076,6737,8980,8719,10998,10664,10344,11776,11591,12127,10455,8049,8217,7279,8227,9033,10425,8103,10445,10486,10299,10061,9651,9401,7591,5852,7029,9909,9876,9995,9782,9496,11390,10832,10204,10084,6855,7721,8269,9235,8425,9120,10646,9792,12874,9988,10359,10028,6825,6430,8442,9300,11245,9855,9188,9996,11366,8525,8822,8056,6038,6437,7677,7299,8301,8689,8165,9128,9331,8803,8533,8026,6000,5638,6690,7440,9678,8296,9850,9609,9092,10058,9170,7573,4169,4029,5372,6899,8271,7510,8002,7184,8509,8438,7553,7154,3950,4556,8763
Middle_Atlantic,Pennsylvania,1817,2392,2418,1939,2045,1303,1304,1955,2241,1897,1830,1935,2104,2185,2187,2107,2592,1786,1794,13036,2230,1916,1952,2617,2570,2654,2657,2733,3951,3591,3833,2333,2367,1931,2262,1958,2797,2200,1968,710,1751,1955,2208,2214,1340,9665.0,8038.0,10046.0,8342.0,9086.0,6882.0,7588.0,6842.0,6130.0,7167.0,6608.0,7273.0,7892.0,6028.0,6748.0,8652.0,8312.0,9756.0,5973.0,8108.0,6097.0,5148.0,8694.0,6960.0,7511.0,7959.0,7293.0,7264.0,7684.0,8488.0,7528.0,7514.0,4907.0,8005.0,7372.0,6501.0,6225.0,8578.0,7622.0,5892.0,9187.0,6578,5962,5619,5630,3647,14057,7094,7885,6943,6912,7994,27759,21649,13986,7699,4088,5039,6264,6365,5822,8729,6526,8907,7274,7893,7574,8656,4430,4091,7438,6160,6846,6279,8397,7704,8047,7267,6564,5124,3499,5217,5711,4135,5594,5451,5243,6286,6604,5053,5729,4390,3737,3822,3954,4652,4054,4158,4504,3624,6309,5458,3679,3534,2706,3793,7098,3573,4623,5048,4697,4382,6752,4294,4423,4306,3121,3002,5228,3752,3957,4402,4182,4116,4824,3508,3715,3266,2503,2806,3357,3479,5142,6104,5468,7709,25552,10100,7406,6139,5184,6256,7869,7703,10357,8568,10984,10558,12261,10150,10312,10145,6114,8746,9141,8448,10250,10013,11955,10523,13024,11912,10721,12403,9299,9919,12177,11283,13040,12741,12781,16034,12450,13229,10591,8308,7752,,,,,,,,,,,,,10833,9543,12426,10258,12305,10991,10791,11616,10170,8640,7076,6737,8980,8719,10998,10664,10344,11776,11591,12127,10455,8049,8217,7279,8227,9033,10425,8103,10445,10486,10299,10061,9651,9401,7591,5852,7029,9909,9876,9995,9782,9496,11390,10832,10204,10084,6855,7721,8269,9235,8425,9120,10646,9792,12874,9988,10359,10028,6825,6430,8442,9300,11245,9855,9188,9996,11366,8525,8822,8056,6038,6437,7677,7299,8301,8689,8165,9128,9331,8803,8533,8026,6000,5638,6690,7440,9678,8296,9850,9609,9092,10058,9170,7573,4169,4029,5372,6899,8271,7510,8002,7184,8509,8438,7553,7154,3950,4556,8763
