Division,State,2023-07,2023-06,2023-05,2023-04,2023-03,2023-02,2023-01,2022-12,2022-11,2022-10,2022-09,2022-08,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02,2022-01,2021-12,2021-11,2021-10,2021-09,2021-08,2021-07,2021-06,2021-05,2021-04,2021-03,2021-02,2021-01,2020-12,2020-11,2020-10,2020-09,2020-08,2020-07,2020-06,2020-05,2020-04,2020-03,2020-02,2020-01,2019-12,2019-11,2019-10,2019-09,2019-08,2019-07,2019-06,2019-05,2019-04,2019-03,2019-02,2019-01,2018-12,2018-11,2018-10,2018-09,2018-08,2018-07,2018-06,2018-05,2018-04,2018-03,2018-02,2018-01,2017-12,2017-11,2017-10,2017-09,2017-08,2017-07,2017-06,2017-05,2017-04,2017-03,2017-02,2017-01,2016-12,2016-11,2016-10,2016-09,2016-08,2016-07,2016-06,2016-05,2016-04,2016-03,2016-02,2016-01,2015-12,2015-11,2015-10,2015-09,2015-08,2015-07,2015-06,2015-05,2015-04,2015-03,2015-02,2015-01,2014-12,2014-11,2014-10,2014-09,2014-08,2014-07,2014-06,2014-05,2014-04,2014-03,2014-02,2014-01,2013-12,2013-11,2013-10,2013-09,2013-08,2013-07,2013-06,2013-05,2013-04,2013-03,2013-02,2013-01,2012-12,2012-11,2012-10,2012-09,2012-08,2012-07,2012-06,2012-05,2012-04,2012-03,2012-02,2012-01,2011-12,2011-11,2011-10,2011-09,2011-08,2011-07,2011-06,2011-05,2011-04,2011-03,2011-02,2011-01,2010-12,2010-11,2010-10,2010-09,2010-08,2010-07,2010-06,2010-05,2010-04,2010-03,2010-02,2010-01,2009-12,2009-11,2009-10,2009-09,2009-08,2009-07,2009-06,2009-05,2009-04,2009-03,2009-02,2009-01,2008-12,2008-11,2008-10,2008-09,2008-08,2008-07,2008-06,2008-05,2008-04,2008-03,2008-02,2008-01,2007-12,2007-11,2007-10,2007-09,2007-08,2007-07,2007-06,2007-05,2007-04,2007-03,2007-02,2007-01,2006-12,2006-11,2006-10,2006-09,2006-08,2006-07,2006-06,2006-05,2006-04,2006-03,2006-01,2005-12,2005-11,2005-10,2005-09,2005-08,2005-07,2005-06,2005-05,2005-04,2005-03,2005-02,2005-01,2004-12,2004-11,2004-10,2004-09,2004-08,2004-07,2004-06,2004-05,2004-04,2004-03,2004-02,2004-01,2003-12,2003-11,2003-10,2003-09,2003-08,2003-07,2003-06,2003-05,2003-04,2003-03,2003-02,2003-01,2002-12,2002-11,2002-10,2002-09,2002-08,2002-07,2002-06,2002-05,2002-04,2002-03,2002-02,2002-01,2001-12,2001-11,2001-10,2001-09,2001-08,2001-07,2001-06,2001-05,2001-04,2001-03,2001-02,2001-01,2000-12,2000-11,2000-10,2000-09,2000-08,2000-07,2000-06,2000-05,2000-04,2000-03,2000-02,2000-01,1999-12,1999-11,1999-10,1999-09,1999-08,1999-07,1999-06,1999-05,1999-04,1999-03,1999-02,1999-01,1998-12,1998-11,1998-10,1998-09,1998-08,1998-07,1998-06,1998-05,1998-04,1998-03,1998-02,1998-01,1997-12,1997-11,1997-10,1997-09,1997-08,1997-07,1997-06,1997-05,1997-04,1997-03,1997-02,1997-01,1996-12,1996-11,1996-10,1996-09,1996-08,1996-07,1996-06,1996-05,1996-04,1996-03,1996-02,1996-01,1995-12,1995-11,1995-10,1995-09,1995-08,1995-07,1995-06,1995-05,1995-04,1995-03,1995-02,1995-01,2006-02
East_North_Central,Illinois,1165,1481,1418,1576,1850,784,978,1673,1534,1814,2255,1720,1418,1437,1702,2270,2090,917,1314,1080,1460,2655,1642,1793,2224,1981,1460,1967,1625,1011,983,1284,1336,1660,1729,1212,1973,1480,1234,1382,1850,1247,1142,2025,1817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10064,9310,8751,5543,6016,6350,9358,9354,9774,9042,8932,9806,8927,8497,6272,4449,3748,5900,5584,8630,8602,8453,10256,9310,9193,8086,6924,3664,3964,5421,6986,8930,9612,8222,8264,7313,8484,8338,5691,4375,4207,4082,7096,7422,6459,6930,5913,5917,6980,5821,5844,3557,2851,4490,5065,6170,5514,6629,4923,5529,5581,4875,4777,2529,3046,3355,4145,5839,4844,5067,5560,5562,5421,6323,5597,3256,2972,3898,4511,5146,5732,5318,6134,5728,4813,4535,3692,2834,2423,3500,4343,7575,7304,8175,8998,9269,9084,10105,6043,5253,6173,6592,9104,11495,11368,13070,12759,14233,15380,12919,12852,8762,10296,9065,11979,15383,14653,17409,16383,18308,20912,17711,18524,13273,14037,19972,22750,22670,24442,22341,24057,23693,23264,19884,14628,11771,,,,,,,,,,,,,15872,17900,25658,24509,23072,23157,25595,22740,23493,18237,12250,12730,17332,16899,24607,20367,21089,22732,22239,23859,23564,18414,13277,12767,14189,17060,19854,18877,21048,21534,23289,23541,21533,19242,13129,11715,10751,16557,21552,19563,21720,20239,20720,23215,21736,22316,13372,11216,13851,19154,21150,21893,22294,20987,23096,23626,23680,21466,12803,9041,17630,16662,23094,20217,20106,20083,22189,21047,21509,18480,12560,10161,14408,14715,19708,19052,18582,19131,19456,20495,21796,16778,11596,9853,12491,17391,22302,19661,21590,24500,20080,22530,23669,17490,11121,9857,12559,16786,20748,19148,22350,19248,20630,21171,17583,17179,9689,8674,14378
East_North_Central,Indiana,2049,2772,2522,2401,2087,1466,1529,1552,1857,2355,3006,2207,2108,1950,2848,3592,2806,1965,2301,3200,2232,2207,2578,2317,2544,2957,2357,2640,2421,1579,1584,1843,1834,2719,2475,1861,2518,2286,2183,2064,1664,1187,1304,1475,1890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10064,9310,8751,5543,6016,6350,9358,9354,9774,9042,8932,9806,8927,8497,6272,4449,3748,5900,5584,8630,8602,8453,10256,9310,9193,8086,6924,3664,3964,5421,6986,8930,9612,8222,8264,7313,8484,8338,5691,4375,4207,4082,7096,7422,6459,6930,5913,5917,6980,5821,5844,3557,2851,4490,5065,6170,5514,6629,4923,5529,5581,4875,4777,2529,3046,3355,4145,5839,4844,5067,5560,5562,5421,6323,5597,3256,2972,3898,4511,5146,5732,5318,6134,5728,4813,4535,3692,2834,2423,3500,4343,7575,7304,8175,8998,9269,9084,10105,6043,5253,6173,6592,9104,11495,11368,13070,12759,14233,15380,12919,12852,8762,10296,9065,11979,15383,14653,17409,16383,18308,20912,17711,18524,13273,14037,19972,22750,22670,24442,22341,24057,23693,23264,19884,14628,11771,,,,,,,,,,,,,15872,17900,25658,24509,23072,23157,25595,22740,23493,18237,12250,12730,17332,16899,24607,20367,21089,22732,22239,23859,23564,18414,13277,12767,14189,17060,19854,18877,21048,21534,23289,23541,21533,19242,13129,11715,10751,16557,21552,19563,21720,20239,20720,23215,21736,22316,13372,11216,13851,19154,21150,21893,22294,20987,23096,23626,23680,21466,12803,9041,17630,16662,23094,20217,20106,20083,22189,21047,21509,18480,12560,10161,14408,14715,19708,19052,18582,19131,19456,20495,21796,16778,11596,9853,12491,17391,22302,19661,21590,24500,20080,22530,23669,17490,11121,9857,12559,16786,20748,19148,22350,19248,20630,21171,17583,17179,9689,8674,14378
East_North_Central,Michigan,1883,1906,1614,1688,1738,1008,1187,1238,1026,1597,1714,2446,1629,2034,2386,1963,2208,1391,1351,1596,1771,1582,1988,1771,1658,2272,1979,2211,2364,1559,1640,2167,2133,2350,2040,1611,2038,1807,1538,727,1134,1155,1366,1105,1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10064,9310,8751,5543,6016,6350,9358,9354,9774,9042,8932,9806,8927,8497,6272,4449,3748,5900,5584,8630,8602,8453,10256,9310,9193,8086,6924,3664,3964,5421,6986,8930,9612,8222,8264,7313,8484,8338,5691,4375,4207,4082,7096,7422,6459,6930,5913,5917,6980,5821,5844,3557,2851,4490,5065,6170,5514,6629,4923,5529,5581,4875,4777,2529,3046,3355,4145,5839,4844,5067,5560,5562,5421,6323,5597,3256,2972,3898,4511,5146,5732,5318,6134,5728,4813,4535,3692,2834,2423,3500,4343,7575,7304,8175,8998,9269,9084,10105,6043,5253,6173,6592,9104,11495,11368,13070,12759,14233,15380,12919,12852,8762,10296,9065,11979,15383,14653,17409,16383,18308,20912,17711,18524,13273,14037,19972,22750,22670,24442,22341,24057,23693,23264,19884,14628,11771,,,,,,,,,,,,,15872,17900,25658,24509,23072,23157,25595,22740,23493,18237,12250,12730,17332,16899,24607,20367,21089,22732,22239,23859,23564,18414,13277,12767,14189,17060,19854,18877,21048,21534,23289,23541,21533,19242,13129,11715,10751,16557,21552,19563,21720,20239,20720,23215,21736,22316,13372,11216,13851,19154,21150,21893,22294,20987,23096,23626,23680,21466,12803,9041,17630,16662,23094,20217,20106,20083,22189,21047,21509,18480,12560,10161,14408,14715,19708,19052,18582,19131,19456,20495,21796,16778,11596,9853,12491,17391,22302,19661,21590,24500,20080,22530,23669,17490,11121,9857,12559,16786,20748,19148,22350,19248,20630,21171,17583,17179,9689,8674,14378
East_North_Central,Ohio,2112,3052,2327,1845,3347,1605,1150,1483,3122,4159,2535,2767,2515,2425,2305,2568,2680,1921,2169,2276,2486,2812,2480,3526,2376,2753,2932,2921,2494,2271,1573,2498,2254,3374,2566,2433,2931,2486,2142,1900,1449,1698,2624,1384,2406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10064,9310,8751,5543,6016,6350,9358,9354,9774,9042,8932,9806,8927,8497,6272,4449,3748,5900,5584,8630,8602,8453,10256,9310,9193,8086,6924,3664,3964,5421,6986,8930,9612,8222,8264,7313,8484,8338,5691,4375,4207,4082,7096,7422,6459,6930,5913,5917,6980,5821,5844,3557,2851,4490,5065,6170,5514,6629,4923,5529,5581,4875,4777,2529,3046,3355,4145,5839,4844,5067,5560,5562,5421,6323,5597,3256,2972,3898,4511,5146,5732,5318,6134,5728,4813,4535,3692,2834,2423,3500,4343,7575,7304,8175,8998,9269,9084,10105,6043,5253,6173,6592,9104,11495,11368,13070,12759,14233,15380,12919,12852,8762,10296,9065,11979,15383,14653,17409,16383,18308,20912,17711,18524,13273,14037,19972,22750,22670,24442,22341,24057,23693,23264,19884,14628,11771,,,,,,,,,,,,,15872,17900,25658,24509,23072,23157,25595,22740,23493,18237,12250,12730,17332,16899,24607,20367,21089,22732,22239,23859,23564,18414,13277,12767,14189,17060,19854,18877,21048,21534,23289,23541,21533,19242,13129,11715,10751,16557,21552,19563,21720,20239,20720,23215,21736,22316,13372,11216,13851,19154,21150,21893,22294,20987,23096,23626,23680,21466,12803,9041,17630,16662,23094,20217,20106,20083,22189,21047,21509,18480,12560,10161,14408,14715,19708,19052,18582,19131,19456,20495,21796,16778,11596,9853,12491,17391,22302,19661,21590,24500,20080,22530,23669,17490,11121,9857,12559,16786,20748,19148,22350,19248,20630,21171,17583,17179,9689,8674,14378
East_North_Central,Wisconsin,1743,2064,2007,1327,1474,1101,908,1024,1846,1760,2239,1922,1811,1870,2427,2289,1787,1145,1012,2246,1699,2670,2070,2457,2379,2176,2316,2699,2088,1271,1094,969,1498,2415,2203,2028,2367,1697,1676,1345,1445,916,902,870,1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10064,9310,8751,5543,6016,6350,9358,9354,9774,9042,8932,9806,8927,8497,6272,4449,3748,5900,5584,8630,8602,8453,10256,9310,9193,8086,6924,3664,3964,5421,6986,8930,9612,8222,8264,7313,8484,8338,5691,4375,4207,4082,7096,7422,6459,6930,5913,5917,6980,5821,5844,3557,2851,4490,5065,6170,5514,6629,4923,5529,5581,4875,4777,2529,3046,3355,4145,5839,4844,5067,5560,5562,5421,6323,5597,3256,2972,3898,4511,5146,5732,5318,6134,5728,4813,4535,3692,2834,2423,3500,4343,7575,7304,8175,8998,9269,9084,10105,6043,5253,6173,6592,9104,11495,11368,13070,12759,14233,15380,12919,12852,8762,10296,9065,11979,15383,14653,17409,16383,18308,20912,17711,18524,13273,14037,19972,22750,22670,24442,22341,24057,23693,23264,19884,14628,11771,,,,,,,,,,,,,15872,17900,25658,24509,23072,23157,25595,22740,23493,18237,12250,12730,17332,16899,24607,20367,21089,22732,22239,23859,23564,18414,13277,12767,14189,17060,19854,18877,21048,21534,23289,23541,21533,19242,13129,11715,10751,16557,21552,19563,21720,20239,20720,23215,21736,22316,13372,11216,13851,19154,21150,21893,22294,20987,23096,23626,23680,21466,12803,9041,17630,16662,23094,20217,20106,20083,22189,21047,21509,18480,12560,10161,14408,14715,19708,19052,18582,19131,19456,20495,21796,16778,11596,9853,12491,17391,22302,19661,21590,24500,20080,22530,23669,17490,11121,9857,12559,16786,20748,19148,22350,19248,20630,21171,17583,17179,9689,8674,14378
West_North_Central,Iowa,817,1115,1327,924,1048,638,355,711,954,1209,1174,1263,842,1481,1257,1580,1083,601,563,716,1244,1557,1319,1023,1116,1359,944,1903,1830,773,494,1115,1065,1181,1344,1217,1484,1417,951,858,979,438,511,506,674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7775,8572,6649,4109,3603,4658,6073,7565,7625,6788,7375,8021,7341,5842,5827,3440,2966,4674,5019,8515,8699,6368,7162,8328,7228,7432,5796,2800,3258,3701,5205,8146,6931,7211,6775,5865,6954,7888,5219,3198,3042,4618,5447,8183,6458,5649,4938,5527,5335,4771,4488,2893,2105,2556,3250,3685,4777,4495,3958,4398,4064,4092,3174,1924,1311,2628,3087,4189,3657,4049,3537,4053,4026,4672,4123,2073,1482,3512,3475,4615,4177,4103,4565,4563,3996,3298,3007,1707,1907,1859,2815,4611,5528,4729,5327,5095,5160,5595,3815,2624,3952,3306,5193,6875,6082,6213,7557,7312,8449,7891,7059,3489,4152,5774,6147,7795,7991,9130,9096,10929,10155,8369,9924,6427,7005,10073,11385,10856,10756,10971,11474,11222,12316,10511,6687,5053,,,,,,,,,,,,,8527,8941,11842,11311,10529,11971,11038,10902,10935,8327,5623,5879,8204,7695,10461,10579,10612,9812,9321,10045,10206,7785,6664,6039,6839,8315,9270,7871,9142,8401,9135,10274,9038,8690,5254,5226,4364,6572,9951,7718,8484,7460,9483,9119,9820,9856,7043,5137,7106,8858,8890,9074,9943,8521,10498,9151,9990,10078,5797,4308,9311,8002,9536,9604,8560,9533,9215,9674,9274,7261,5957,4418,6335,6425,9879,10090,8451,8051,8781,8798,9637,7299,4268,3509,6598,5881,8767,8191,9264,9042,8666,9650,10351,8879,5666,4178,4779,7467,9858,8311,8996,7711,8691,8336,7330,6911,4010,3601,6892
West_North_Central,Kansas,630,750,1132,561,548,349,492,420,460,777,858,704,840,759,739,1025,735,471,1161,855,793,578,819,808,724,639,745,889,764,846,495,824,532,691,947,573,1034,537,593,580,427,523,512,497,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7775,8572,6649,4109,3603,4658,6073,7565,7625,6788,7375,8021,7341,5842,5827,3440,2966,4674,5019,8515,8699,6368,7162,8328,7228,7432,5796,2800,3258,3701,5205,8146,6931,7211,6775,5865,6954,7888,5219,3198,3042,4618,5447,8183,6458,5649,4938,5527,5335,4771,4488,2893,2105,2556,3250,3685,4777,4495,3958,4398,4064,4092,3174,1924,1311,2628,3087,4189,3657,4049,3537,4053,4026,4672,4123,2073,1482,3512,3475,4615,4177,4103,4565,4563,3996,3298,3007,1707,1907,1859,2815,4611,5528,4729,5327,5095,5160,5595,3815,2624,3952,3306,5193,6875,6082,6213,7557,7312,8449,7891,7059,3489,4152,5774,6147,7795,7991,9130,9096,10929,10155,8369,9924,6427,7005,10073,11385,10856,10756,10971,11474,11222,12316,10511,6687,5053,,,,,,,,,,,,,8527,8941,11842,11311,10529,11971,11038,10902,10935,8327,5623,5879,8204,7695,10461,10579,10612,9812,9321,10045,10206,7785,6664,6039,6839,8315,9270,7871,9142,8401,9135,10274,9038,8690,5254,5226,4364,6572,9951,7718,8484,7460,9483,9119,9820,9856,7043,5137,7106,8858,8890,9074,9943,8521,10498,9151,9990,10078,5797,4308,9311,8002,9536,9604,8560,9533,9215,9674,9274,7261,5957,4418,6335,6425,9879,10090,8451,8051,8781,8798,9637,7299,4268,3509,6598,5881,8767,8191,9264,9042,8666,9650,10351,8879,5666,4178,4779,7467,9858,8311,8996,7711,8691,8336,7330,6911,4010,3601,6892
West_North_Central,Minnesota,2145,2484,2847,2088,1840,1302,1366,1556,1870,2752,2759,2725,2495,3076,3607,3209,3913,2357,1564,2918,2724,4310,3515,3715,2706,3341,3823,2868,3167,2030,2335,2847,2402,2914,2907,3383,2969,3016,2451,2107,2216,1015,1577,2979,2651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7775,8572,6649,4109,3603,4658,6073,7565,7625,6788,7375,8021,7341,5842,5827,3440,2966,4674,5019,8515,8699,6368,7162,8328,7228,7432,5796,2800,3258,3701,5205,8146,6931,7211,6775,5865,6954,7888,5219,3198,3042,4618,5447,8183,6458,5649,4938,5527,5335,4771,4488,2893,2105,2556,3250,3685,4777,4495,3958,4398,4064,4092,3174,1924,1311,2628,3087,4189,3657,4049,3537,4053,4026,4672,4123,2073,1482,3512,3475,4615,4177,4103,4565,4563,3996,3298,3007,1707,1907,1859,2815,4611,5528,4729,5327,5095,5160,5595,3815,2624,3952,3306,5193,6875,6082,6213,7557,7312,8449,7891,7059,3489,4152,5774,6147,7795,7991,9130,9096,10929,10155,8369,9924,6427,7005,10073,11385,10856,10756,10971,11474,11222,12316,10511,6687,5053,,,,,,,,,,,,,8527,8941,11842,11311,10529,11971,11038,10902,10935,8327,5623,5879,8204,7695,10461,10579,10612,9812,9321,10045,10206,7785,6664,6039,6839,8315,9270,7871,9142,8401,9135,10274,9038,8690,5254,5226,4364,6572,9951,7718,8484,7460,9483,9119,9820,9856,7043,5137,7106,8858,8890,9074,9943,8521,10498,9151,9990,10078,5797,4308,9311,8002,9536,9604,8560,9533,9215,9674,9274,7261,5957,4418,6335,6425,9879,10090,8451,8051,8781,8798,9637,7299,4268,3509,6598,5881,8767,8191,9264,9042,8666,9650,10351,8879,5666,4178,4779,7467,9858,8311,8996,7711,8691,8336,7330,6911,4010,3601,6892
West_North_Central,Missouri,1486,1642,1818,1295,1623,1111,1028,1072,1393,1552,1560,2156,1625,1944,1779,2029,1825,1447,1862,1898,1666,2081,2105,2101,1389,1208,1592,2167,2347,1121,1102,1241,1615,1469,1604,1687,2243,1522,1403,1226,1187,1339,1371,1311,1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7775,8572,6649,4109,3603,4658,6073,7565,7625,6788,7375,8021,7341,5842,5827,3440,2966,4674,5019,8515,8699,6368,7162,8328,7228,7432,5796,2800,3258,3701,5205,8146,6931,7211,6775,5865,6954,7888,5219,3198,3042,4618,5447,8183,6458,5649,4938,5527,5335,4771,4488,2893,2105,2556,3250,3685,4777,4495,3958,4398,4064,4092,3174,1924,1311,2628,3087,4189,3657,4049,3537,4053,4026,4672,4123,2073,1482,3512,3475,4615,4177,4103,4565,4563,3996,3298,3007,1707,1907,1859,2815,4611,5528,4729,5327,5095,5160,5595,3815,2624,3952,3306,5193,6875,6082,6213,7557,7312,8449,7891,7059,3489,4152,5774,6147,7795,7991,9130,9096,10929,10155,8369,9924,6427,7005,10073,11385,10856,10756,10971,11474,11222,12316,10511,6687,5053,,,,,,,,,,,,,8527,8941,11842,11311,10529,11971,11038,10902,10935,8327,5623,5879,8204,7695,10461,10579,10612,9812,9321,10045,10206,7785,6664,6039,6839,8315,9270,7871,9142,8401,9135,10274,9038,8690,5254,5226,4364,6572,9951,7718,8484,7460,9483,9119,9820,9856,7043,5137,7106,8858,8890,9074,9943,8521,10498,9151,9990,10078,5797,4308,9311,8002,9536,9604,8560,9533,9215,9674,9274,7261,5957,4418,6335,6425,9879,10090,8451,8051,8781,8798,9637,7299,4268,3509,6598,5881,8767,8191,9264,9042,8666,9650,10351,8879,5666,4178,4779,7467,9858,8311,8996,7711,8691,8336,7330,6911,4010,3601,6892
West_North_Central,Nebraska,641,849,777,606,671,814,429,396,1070,926,744,670,778,739,1069,1572,943,775,828,743,547,1265,1266,638,614,780,1074,988,897,575,478,730,1020,1079,866,657,699,822,565,829,593,568,600,410,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7775,8572,6649,4109,3603,4658,6073,7565,7625,6788,7375,8021,7341,5842,5827,3440,2966,4674,5019,8515,8699,6368,7162,8328,7228,7432,5796,2800,3258,3701,5205,8146,6931,7211,6775,5865,6954,7888,5219,3198,3042,4618,5447,8183,6458,5649,4938,5527,5335,4771,4488,2893,2105,2556,3250,3685,4777,4495,3958,4398,4064,4092,3174,1924,1311,2628,3087,4189,3657,4049,3537,4053,4026,4672,4123,2073,1482,3512,3475,4615,4177,4103,4565,4563,3996,3298,3007,1707,1907,1859,2815,4611,5528,4729,5327,5095,5160,5595,3815,2624,3952,3306,5193,6875,6082,6213,7557,7312,8449,7891,7059,3489,4152,5774,6147,7795,7991,9130,9096,10929,10155,8369,9924,6427,7005,10073,11385,10856,10756,10971,11474,11222,12316,10511,6687,5053,,,,,,,,,,,,,8527,8941,11842,11311,10529,11971,11038,10902,10935,8327,5623,5879,8204,7695,10461,10579,10612,9812,9321,10045,10206,7785,6664,6039,6839,8315,9270,7871,9142,8401,9135,10274,9038,8690,5254,5226,4364,6572,9951,7718,8484,7460,9483,9119,9820,9856,7043,5137,7106,8858,8890,9074,9943,8521,10498,9151,9990,10078,5797,4308,9311,8002,9536,9604,8560,9533,9215,9674,9274,7261,5957,4418,6335,6425,9879,10090,8451,8051,8781,8798,9637,7299,4268,3509,6598,5881,8767,8191,9264,9042,8666,9650,10351,8879,5666,4178,4779,7467,9858,8311,8996,7711,8691,8336,7330,6911,4010,3601,6892
West_North_Central,North_Dakota,306,204,450,164,216,253,137,98,163,565,321,285,430,720,340,254,214,61,35,199,253,192,229,286,385,289,496,337,299,69,204,168,248,340,469,330,457,433,240,419,261,47,36,35,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7775,8572,6649,4109,3603,4658,6073,7565,7625,6788,7375,8021,7341,5842,5827,3440,2966,4674,5019,8515,8699,6368,7162,8328,7228,7432,5796,2800,3258,3701,5205,8146,6931,7211,6775,5865,6954,7888,5219,3198,3042,4618,5447,8183,6458,5649,4938,5527,5335,4771,4488,2893,2105,2556,3250,3685,4777,4495,3958,4398,4064,4092,3174,1924,1311,2628,3087,4189,3657,4049,3537,4053,4026,4672,4123,2073,1482,3512,3475,4615,4177,4103,4565,4563,3996,3298,3007,1707,1907,1859,2815,4611,5528,4729,5327,5095,5160,5595,3815,2624,3952,3306,5193,6875,6082,6213,7557,7312,8449,7891,7059,3489,4152,5774,6147,7795,7991,9130,9096,10929,10155,8369,9924,6427,7005,10073,11385,10856,10756,10971,11474,11222,12316,10511,6687,5053,,,,,,,,,,,,,8527,8941,11842,11311,10529,11971,11038,10902,10935,8327,5623,5879,8204,7695,10461,10579,10612,9812,9321,10045,10206,7785,6664,6039,6839,8315,9270,7871,9142,8401,9135,10274,9038,8690,5254,5226,4364,6572,9951,7718,8484,7460,9483,9119,9820,9856,7043,5137,7106,8858,8890,9074,9943,8521,10498,9151,9990,10078,5797,4308,9311,8002,9536,9604,8560,9533,9215,9674,9274,7261,5957,4418,6335,6425,9879,10090,8451,8051,8781,8798,9637,7299,4268,3509,6598,5881,8767,8191,9264,9042,8666,9650,10351,8879,5666,4178,4779,7467,9858,8311,8996,7711,8691,8336,7330,6911,4010,3601,6892
