Division,State,2023-07,2023-06,2023-05,2023-04,2023-03,2023-02,2023-01,2022-12,2022-11,2022-10,2022-09,2022-08,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02,2022-01,2021-12,2021-11,2021-10,2021-09,2021-08,2021-07,2021-06,2021-05,2021-04,2021-03,2021-02,2021-01,2020-12,2020-11,2020-10,2020-09,2020-08,2020-07,2020-06,2020-05,2020-04,2020-03,2020-02,2020-01,2019-12,2019-11,2019-10,2019-09,2019-08,2019-07,2019-06,2019-05,2019-04,2019-03,2019-02,2019-01,2018-12,2018-11,2018-10,2018-09,2018-08,2018-07,2018-06,2018-05,2018-04,2018-03,2018-02,2018-01,2017-12,2017-11,2017-10,2017-09,2017-08,2017-07,2017-06,2017-05,2017-04,2017-03,2017-02,2017-01,2016-12,2016-11,2016-10,2016-09,2016-08,2016-07,2016-06,2016-05,2016-04,2016-03,2016-02,2016-01,2015-12,2015-11,2015-10,2015-09,2015-08,2015-07,2015-06,2015-05,2015-04,2015-03,2015-02,2015-01,2014-12,2014-11,2014-10,2014-09,2014-08,2014-07,2014-06,2014-05,2014-04,2014-03,2014-02,2014-01,2013-12,2013-11,2013-10,2013-09,2013-08,2013-07,2013-06,2013-05,2013-04,2013-03,2013-02,2013-01,2012-12,2012-11,2012-10,2012-09,2012-08,2012-07,2012-06,2012-05,2012-04,2012-03,2012-02,2012-01,2011-12,2011-11,2011-10,2011-09,2011-08,2011-07,2011-06,2011-05,2011-04,2011-03,2011-02,2011-01,2010-12,2010-11,2010-10,2010-09,2010-08,2010-07,2010-06,2010-05,2010-04,2010-03,2010-02,2010-01,2009-12,2009-11,2009-10,2009-09,2009-08,2009-07,2009-06,2009-05,2009-04,2009-03,2009-02,2009-01,2008-12,2008-11,2008-10,2008-09,2008-08,2008-07,2008-06,2008-05,2008-04,2008-03,2008-02,2008-01,2007-12,2007-11,2007-10,2007-09,2007-08,2007-07,2007-06,2007-05,2007-04,2007-03,2007-02,2007-01,2006-12,2006-11,2006-10,2006-09,2006-08,2006-07,2006-06,2006-05,2006-04,2006-03,2006-01,2005-12,2005-11,2005-10,2005-09,2005-08,2005-07,2005-06,2005-05,2005-04,2005-03,2005-02,2005-01,2004-12,2004-11,2004-10,2004-09,2004-08,2004-07,2004-06,2004-05,2004-04,2004-03,2004-02,2004-01,2003-12,2003-11,2003-10,2003-09,2003-08,2003-07,2003-06,2003-05,2003-04,2003-03,2003-02,2003-01,2002-12,2002-11,2002-10,2002-09,2002-08,2002-07,2002-06,2002-05,2002-04,2002-03,2002-02,2002-01,2001-12,2001-11,2001-10,2001-09,2001-08,2001-07,2001-06,2001-05,2001-04,2001-03,2001-02,2001-01,2000-12,2000-11,2000-10,2000-09,2000-08,2000-07,2000-06,2000-05,2000-04,2000-03,2000-02,2000-01,1999-12,1999-11,1999-10,1999-09,1999-08,1999-07,1999-06,1999-05,1999-04,1999-03,1999-02,1999-01,1998-12,1998-11,1998-10,1998-09,1998-08,1998-07,1998-06,1998-05,1998-04,1998-03,1998-02,1998-01,1997-12,1997-11,1997-10,1997-09,1997-08,1997-07,1997-06,1997-05,1997-04,1997-03,1997-02,1997-01,1996-12,1996-11,1996-10,1996-09,1996-08,1996-07,1996-06,1996-05,1996-04,1996-03,1996-02,1996-01,1995-12,1995-11,1995-10,1995-09,1995-08,1995-07,1995-06,1995-05,1995-04,1995-03,1995-02,1995-01,2006-02
West_North_Central,South_Dakota,445,623,761,717,1120,151,261,239,297,411,743,1023,1347,628,1780,926,1344,301,352,522,512,706,770,797,617,604,662,811,746,245,595,348,854,872,762,576,602,741,514,405,493,207,135,304,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7775,8572,6649,4109,3603,4658,6073,7565,7625,6788,7375,8021,7341,5842,5827,3440,2966,4674,5019,8515,8699,6368,7162,8328,7228,7432,5796,2800,3258,3701,5205,8146,6931,7211,6775,5865,6954,7888,5219,3198,3042,4618,5447,8183,6458,5649,4938,5527,5335,4771,4488,2893,2105,2556,3250,3685,4777,4495,3958,4398,4064,4092,3174,1924,1311,2628,3087,4189,3657,4049,3537,4053,4026,4672,4123,2073,1482,3512,3475,4615,4177,4103,4565,4563,3996,3298,3007,1707,1907,1859,2815,4611,5528,4729,5327,5095,5160,5595,3815,2624,3952,3306,5193,6875,6082,6213,7557,7312,8449,7891,7059,3489,4152,5774,6147,7795,7991,9130,9096,10929,10155,8369,9924,6427,7005,10073,11385,10856,10756,10971,11474,11222,12316,10511,6687,5053,,,,,,,,,,,,,8527,8941,11842,11311,10529,11971,11038,10902,10935,8327,5623,5879,8204,7695,10461,10579,10612,9812,9321,10045,10206,7785,6664,6039,6839,8315,9270,7871,9142,8401,9135,10274,9038,8690,5254,5226,4364,6572,9951,7718,8484,7460,9483,9119,9820,9856,7043,5137,7106,8858,8890,9074,9943,8521,10498,9151,9990,10078,5797,4308,9311,8002,9536,9604,8560,9533,9215,9674,9274,7261,5957,4418,6335,6425,9879,10090,8451,8051,8781,8798,9637,7299,4268,3509,6598,5881,8767,8191,9264,9042,8666,9650,10351,8879,5666,4178,4779,7467,9858,8311,8996,7711,8691,8336,7330,6911,4010,3601,6892
South_Atlantic,Delaware,536,632,642,471,536,356,412,404,498,580,405,595,435,549,606,538,623,564,586,564,702,607,601,627,890,690,944,861,838,778,677,830,561,969,792,1111,823,624,441,536,593,578,538,453,482,35615.0,32902.0,35128.0,32583.0,29635.0,34917.0,33764.0,29628.0,28721.0,29021.0,27548.0,29365.0,31278.0,27369.0,33654.0,32195.0,31752.0,31415.0,33206.0,32267.0,28139.0,29879.0,22303.0,24719.0,29823.0,25061.0,31334.0,28975.0,31965.0,28706.0,25825.0,30345.0,23695.0,25464.0,24327.0,22587.0,26054.0,27091.0,28193.0,25632.0,29353.0,26959,26829,26670,23455,20263,24343,21730,25504,25252,23006,26433,28860,25418,26006,23599,22183,19478,21607,16991,24066,21237,22127,24527,21837,20986,21003,19971,21897,18527,17183,18961,22627,21683,19929,21234,21692,26043,24121,21281,19288,17773,16528,17918,18371,18689,18036,17826,17627,19281,14834,16527,14988,14684,13017,12884,11904,11287,15049,13460,13924,13139,11436,14900,11128,10365,9038,9245,9370,10339,12385,12820,13040,11929,13774,16643,11225,11185,12447,10337,11303,12326,12607,12313,13932,11661,11098,11215,11016,9693,10178,8915,14332,16771,18510,22071,23031,20473,21844,21084,20842,23383,20692,21391,23025,23369,30130,29771,33000,40193,35610,38842,32878,33491,32341,31750,38164,37120,46312,40909,49196,53670,49485,60370,50102,46536,45527,49659,56369,62028,52103,62452,55633,56440,57542,47174,45114,,,,,,,,,,,,,44709,34131,47936,42843,46107,44595,46962,45317,43312,40349,35626,39017,39285,33918,43571,36851,41851,45638,43592,43020,42295,42745,39584,37305,32882,35949,35747,34090,41544,39231,41339,44091,39241,42317,34660,35789,30876,32809,35448,34616,37791,34405,42522,39311,35037,41061,34798,32367,36098,33610,36824,34467,42074,39857,46148,36293,41059,42842,35936,35297,35837,33148,38825,36993,40213,40080,38159,36424,36489,39107,30430,28350,29060,26810,36233,33113,32925,36891,34997,35038,36326,34459,26118,27792,27150,26654,31032,31119,35332,32777,33489,37870,36115,31355,28011,26416,27623,29192,30381,33359,35370,30466,33919,31159,29141,34335,23021,26048,50161
South_Atlantic,District_of_Columbia,299,290,35,224,129,299,800,1000,988,451,986,1555,254,709,540,81,777,350,14,343,498,623,314,360,279,110,403,159,589,749,313,1224,626,1001,363,363,414,1025,393,256,687,336,682,57,269,35615.0,32902.0,35128.0,32583.0,29635.0,34917.0,33764.0,29628.0,28721.0,29021.0,27548.0,29365.0,31278.0,27369.0,33654.0,32195.0,31752.0,31415.0,33206.0,32267.0,28139.0,29879.0,22303.0,24719.0,29823.0,25061.0,31334.0,28975.0,31965.0,28706.0,25825.0,30345.0,23695.0,25464.0,24327.0,22587.0,26054.0,27091.0,28193.0,25632.0,29353.0,26959,26829,26670,23455,20263,24343,21730,25504,25252,23006,26433,28860,25418,26006,23599,22183,19478,21607,16991,24066,21237,22127,24527,21837,20986,21003,19971,21897,18527,17183,18961,22627,21683,19929,21234,21692,26043,24121,21281,19288,17773,16528,17918,18371,18689,18036,17826,17627,19281,14834,16527,14988,14684,13017,12884,11904,11287,15049,13460,13924,13139,11436,14900,11128,10365,9038,9245,9370,10339,12385,12820,13040,11929,13774,16643,11225,11185,12447,10337,11303,12326,12607,12313,13932,11661,11098,11215,11016,9693,10178,8915,14332,16771,18510,22071,23031,20473,21844,21084,20842,23383,20692,21391,23025,23369,30130,29771,33000,40193,35610,38842,32878,33491,32341,31750,38164,37120,46312,40909,49196,53670,49485,60370,50102,46536,45527,49659,56369,62028,52103,62452,55633,56440,57542,47174,45114,,,,,,,,,,,,,44709,34131,47936,42843,46107,44595,46962,45317,43312,40349,35626,39017,39285,33918,43571,36851,41851,45638,43592,43020,42295,42745,39584,37305,32882,35949,35747,34090,41544,39231,41339,44091,39241,42317,34660,35789,30876,32809,35448,34616,37791,34405,42522,39311,35037,41061,34798,32367,36098,33610,36824,34467,42074,39857,46148,36293,41059,42842,35936,35297,35837,33148,38825,36993,40213,40080,38159,36424,36489,39107,30430,28350,29060,26810,36233,33113,32925,36891,34997,35038,36326,34459,26118,27792,27150,26654,31032,31119,35332,32777,33489,37870,36115,31355,28011,26416,27623,29192,30381,33359,35370,30466,33919,31159,29141,34335,23021,26048,50161
South_Atlantic,Florida,15574,18825,15062,14957,18743,16279,14964,14958,12504,15337,17199,16834,15502,20160,20152,20051,19387,16284,17533,17640,14873,16212,17123,22629,17750,19447,17754,19625,17512,12866,15788,14402,11634,15768,14408,15378,13053,12709,11776,12223,13674,12111,14395,12079,10374,35615.0,32902.0,35128.0,32583.0,29635.0,34917.0,33764.0,29628.0,28721.0,29021.0,27548.0,29365.0,31278.0,27369.0,33654.0,32195.0,31752.0,31415.0,33206.0,32267.0,28139.0,29879.0,22303.0,24719.0,29823.0,25061.0,31334.0,28975.0,31965.0,28706.0,25825.0,30345.0,23695.0,25464.0,24327.0,22587.0,26054.0,27091.0,28193.0,25632.0,29353.0,26959,26829,26670,23455,20263,24343,21730,25504,25252,23006,26433,28860,25418,26006,23599,22183,19478,21607,16991,24066,21237,22127,24527,21837,20986,21003,19971,21897,18527,17183,18961,22627,21683,19929,21234,21692,26043,24121,21281,19288,17773,16528,17918,18371,18689,18036,17826,17627,19281,14834,16527,14988,14684,13017,12884,11904,11287,15049,13460,13924,13139,11436,14900,11128,10365,9038,9245,9370,10339,12385,12820,13040,11929,13774,16643,11225,11185,12447,10337,11303,12326,12607,12313,13932,11661,11098,11215,11016,9693,10178,8915,14332,16771,18510,22071,23031,20473,21844,21084,20842,23383,20692,21391,23025,23369,30130,29771,33000,40193,35610,38842,32878,33491,32341,31750,38164,37120,46312,40909,49196,53670,49485,60370,50102,46536,45527,49659,56369,62028,52103,62452,55633,56440,57542,47174,45114,,,,,,,,,,,,,44709,34131,47936,42843,46107,44595,46962,45317,43312,40349,35626,39017,39285,33918,43571,36851,41851,45638,43592,43020,42295,42745,39584,37305,32882,35949,35747,34090,41544,39231,41339,44091,39241,42317,34660,35789,30876,32809,35448,34616,37791,34405,42522,39311,35037,41061,34798,32367,36098,33610,36824,34467,42074,39857,46148,36293,41059,42842,35936,35297,35837,33148,38825,36993,40213,40080,38159,36424,36489,39107,30430,28350,29060,26810,36233,33113,32925,36891,34997,35038,36326,34459,26118,27792,27150,26654,31032,31119,35332,32777,33489,37870,36115,31355,28011,26416,27623,29192,30381,33359,35370,30466,33919,31159,29141,34335,23021,26048,50161
South_Atlantic,Georgia,5423,5758,7066,5256,5357,5136,5940,4592,5516,6111,5908,7694,6229,5645,5973,6745,7692,6377,5267,5456,5164,4865,5813,5569,4709,5956,5334,5912,6099,4683,5331,4564,4499,5132,5459,4962,4552,4278,3898,3117,3814,4183,4431,3727,3409,35615.0,32902.0,35128.0,32583.0,29635.0,34917.0,33764.0,29628.0,28721.0,29021.0,27548.0,29365.0,31278.0,27369.0,33654.0,32195.0,31752.0,31415.0,33206.0,32267.0,28139.0,29879.0,22303.0,24719.0,29823.0,25061.0,31334.0,28975.0,31965.0,28706.0,25825.0,30345.0,23695.0,25464.0,24327.0,22587.0,26054.0,27091.0,28193.0,25632.0,29353.0,26959,26829,26670,23455,20263,24343,21730,25504,25252,23006,26433,28860,25418,26006,23599,22183,19478,21607,16991,24066,21237,22127,24527,21837,20986,21003,19971,21897,18527,17183,18961,22627,21683,19929,21234,21692,26043,24121,21281,19288,17773,16528,17918,18371,18689,18036,17826,17627,19281,14834,16527,14988,14684,13017,12884,11904,11287,15049,13460,13924,13139,11436,14900,11128,10365,9038,9245,9370,10339,12385,12820,13040,11929,13774,16643,11225,11185,12447,10337,11303,12326,12607,12313,13932,11661,11098,11215,11016,9693,10178,8915,14332,16771,18510,22071,23031,20473,21844,21084,20842,23383,20692,21391,23025,23369,30130,29771,33000,40193,35610,38842,32878,33491,32341,31750,38164,37120,46312,40909,49196,53670,49485,60370,50102,46536,45527,49659,56369,62028,52103,62452,55633,56440,57542,47174,45114,,,,,,,,,,,,,44709,34131,47936,42843,46107,44595,46962,45317,43312,40349,35626,39017,39285,33918,43571,36851,41851,45638,43592,43020,42295,42745,39584,37305,32882,35949,35747,34090,41544,39231,41339,44091,39241,42317,34660,35789,30876,32809,35448,34616,37791,34405,42522,39311,35037,41061,34798,32367,36098,33610,36824,34467,42074,39857,46148,36293,41059,42842,35936,35297,35837,33148,38825,36993,40213,40080,38159,36424,36489,39107,30430,28350,29060,26810,36233,33113,32925,36891,34997,35038,36326,34459,26118,27792,27150,26654,31032,31119,35332,32777,33489,37870,36115,31355,28011,26416,27623,29192,30381,33359,35370,30466,33919,31159,29141,34335,23021,26048,50161
South_Atlantic,Maryland,1339,1210,1744,1230,1035,1351,1502,1297,1102,924,1653,1125,1981,2027,1517,2054,2191,1667,2062,1189,1071,1224,1789,1606,1228,1809,1356,1378,1601,1790,1320,1785,1403,1803,1932,1676,1294,1423,1550,1131,1604,1246,1448,1557,1163,35615.0,32902.0,35128.0,32583.0,29635.0,34917.0,33764.0,29628.0,28721.0,29021.0,27548.0,29365.0,31278.0,27369.0,33654.0,32195.0,31752.0,31415.0,33206.0,32267.0,28139.0,29879.0,22303.0,24719.0,29823.0,25061.0,31334.0,28975.0,31965.0,28706.0,25825.0,30345.0,23695.0,25464.0,24327.0,22587.0,26054.0,27091.0,28193.0,25632.0,29353.0,26959,26829,26670,23455,20263,24343,21730,25504,25252,23006,26433,28860,25418,26006,23599,22183,19478,21607,16991,24066,21237,22127,24527,21837,20986,21003,19971,21897,18527,17183,18961,22627,21683,19929,21234,21692,26043,24121,21281,19288,17773,16528,17918,18371,18689,18036,17826,17627,19281,14834,16527,14988,14684,13017,12884,11904,11287,15049,13460,13924,13139,11436,14900,11128,10365,9038,9245,9370,10339,12385,12820,13040,11929,13774,16643,11225,11185,12447,10337,11303,12326,12607,12313,13932,11661,11098,11215,11016,9693,10178,8915,14332,16771,18510,22071,23031,20473,21844,21084,20842,23383,20692,21391,23025,23369,30130,29771,33000,40193,35610,38842,32878,33491,32341,31750,38164,37120,46312,40909,49196,53670,49485,60370,50102,46536,45527,49659,56369,62028,52103,62452,55633,56440,57542,47174,45114,,,,,,,,,,,,,44709,34131,47936,42843,46107,44595,46962,45317,43312,40349,35626,39017,39285,33918,43571,36851,41851,45638,43592,43020,42295,42745,39584,37305,32882,35949,35747,34090,41544,39231,41339,44091,39241,42317,34660,35789,30876,32809,35448,34616,37791,34405,42522,39311,35037,41061,34798,32367,36098,33610,36824,34467,42074,39857,46148,36293,41059,42842,35936,35297,35837,33148,38825,36993,40213,40080,38159,36424,36489,39107,30430,28350,29060,26810,36233,33113,32925,36891,34997,35038,36326,34459,26118,27792,27150,26654,31032,31119,35332,32777,33489,37870,36115,31355,28011,26416,27623,29192,30381,33359,35370,30466,33919,31159,29141,34335,23021,26048,50161
South_Atlantic,North_Carolina,7218,7820,9184,7997,8515,8095,7066,5062,7276,6781,6943,8119,6605,7106,8648,9028,8109,8329,8061,6479,7709,8006,7802,8399,7676,8339,6860,8029,8638,7814,6069,6018,7200,6359,5905,6826,6122,7052,5341,4886,6699,5691,5553,5044,5290,35615.0,32902.0,35128.0,32583.0,29635.0,34917.0,33764.0,29628.0,28721.0,29021.0,27548.0,29365.0,31278.0,27369.0,33654.0,32195.0,31752.0,31415.0,33206.0,32267.0,28139.0,29879.0,22303.0,24719.0,29823.0,25061.0,31334.0,28975.0,31965.0,28706.0,25825.0,30345.0,23695.0,25464.0,24327.0,22587.0,26054.0,27091.0,28193.0,25632.0,29353.0,26959,26829,26670,23455,20263,24343,21730,25504,25252,23006,26433,28860,25418,26006,23599,22183,19478,21607,16991,24066,21237,22127,24527,21837,20986,21003,19971,21897,18527,17183,18961,22627,21683,19929,21234,21692,26043,24121,21281,19288,17773,16528,17918,18371,18689,18036,17826,17627,19281,14834,16527,14988,14684,13017,12884,11904,11287,15049,13460,13924,13139,11436,14900,11128,10365,9038,9245,9370,10339,12385,12820,13040,11929,13774,16643,11225,11185,12447,10337,11303,12326,12607,12313,13932,11661,11098,11215,11016,9693,10178,8915,14332,16771,18510,22071,23031,20473,21844,21084,20842,23383,20692,21391,23025,23369,30130,29771,33000,40193,35610,38842,32878,33491,32341,31750,38164,37120,46312,40909,49196,53670,49485,60370,50102,46536,45527,49659,56369,62028,52103,62452,55633,56440,57542,47174,45114,,,,,,,,,,,,,44709,34131,47936,42843,46107,44595,46962,45317,43312,40349,35626,39017,39285,33918,43571,36851,41851,45638,43592,43020,42295,42745,39584,37305,32882,35949,35747,34090,41544,39231,41339,44091,39241,42317,34660,35789,30876,32809,35448,34616,37791,34405,42522,39311,35037,41061,34798,32367,36098,33610,36824,34467,42074,39857,46148,36293,41059,42842,35936,35297,35837,33148,38825,36993,40213,40080,38159,36424,36489,39107,30430,28350,29060,26810,36233,33113,32925,36891,34997,35038,36326,34459,26118,27792,27150,26654,31032,31119,35332,32777,33489,37870,36115,31355,28011,26416,27623,29192,30381,33359,35370,30466,33919,31159,29141,34335,23021,26048,50161
South_Atlantic,South_Carolina,3424,3778,4258,3472,3820,3039,3018,2937,2816,3637,3204,3797,3874,4170,4192,4453,4829,3801,4124,3459,4018,4275,4102,3629,4276,5588,3928,4352,4444,3588,3610,4046,3805,4098,3562,3555,4137,3624,2731,2717,3460,2824,2868,2509,2434,35615.0,32902.0,35128.0,32583.0,29635.0,34917.0,33764.0,29628.0,28721.0,29021.0,27548.0,29365.0,31278.0,27369.0,33654.0,32195.0,31752.0,31415.0,33206.0,32267.0,28139.0,29879.0,22303.0,24719.0,29823.0,25061.0,31334.0,28975.0,31965.0,28706.0,25825.0,30345.0,23695.0,25464.0,24327.0,22587.0,26054.0,27091.0,28193.0,25632.0,29353.0,26959,26829,26670,23455,20263,24343,21730,25504,25252,23006,26433,28860,25418,26006,23599,22183,19478,21607,16991,24066,21237,22127,24527,21837,20986,21003,19971,21897,18527,17183,18961,22627,21683,19929,21234,21692,26043,24121,21281,19288,17773,16528,17918,18371,18689,18036,17826,17627,19281,14834,16527,14988,14684,13017,12884,11904,11287,15049,13460,13924,13139,11436,14900,11128,10365,9038,9245,9370,10339,12385,12820,13040,11929,13774,16643,11225,11185,12447,10337,11303,12326,12607,12313,13932,11661,11098,11215,11016,9693,10178,8915,14332,16771,18510,22071,23031,20473,21844,21084,20842,23383,20692,21391,23025,23369,30130,29771,33000,40193,35610,38842,32878,33491,32341,31750,38164,37120,46312,40909,49196,53670,49485,60370,50102,46536,45527,49659,56369,62028,52103,62452,55633,56440,57542,47174,45114,,,,,,,,,,,,,44709,34131,47936,42843,46107,44595,46962,45317,43312,40349,35626,39017,39285,33918,43571,36851,41851,45638,43592,43020,42295,42745,39584,37305,32882,35949,35747,34090,41544,39231,41339,44091,39241,42317,34660,35789,30876,32809,35448,34616,37791,34405,42522,39311,35037,41061,34798,32367,36098,33610,36824,34467,42074,39857,46148,36293,41059,42842,35936,35297,35837,33148,38825,36993,40213,40080,38159,36424,36489,39107,30430,28350,29060,26810,36233,33113,32925,36891,34997,35038,36326,34459,26118,27792,27150,26654,31032,31119,35332,32777,33489,37870,36115,31355,28011,26416,27623,29192,30381,33359,35370,30466,33919,31159,29141,34335,23021,26048,50161
South_Atlantic,Virginia,2561,3252,3161,2657,3308,2642,3272,2696,2000,3198,2883,3245,3556,3463,4004,3435,5047,2873,2714,3329,3373,2451,3078,3265,2973,3558,3125,4116,4361,2789,3294,2612,2521,2288,3028,2260,4380,3034,3233,2635,2632,2573,2671,2468,2170,35615.0,32902.0,35128.0,32583.0,29635.0,34917.0,33764.0,29628.0,28721.0,29021.0,27548.0,29365.0,31278.0,27369.0,33654.0,32195.0,31752.0,31415.0,33206.0,32267.0,28139.0,29879.0,22303.0,24719.0,29823.0,25061.0,31334.0,28975.0,31965.0,28706.0,25825.0,30345.0,23695.0,25464.0,24327.0,22587.0,26054.0,27091.0,28193.0,25632.0,29353.0,26959,26829,26670,23455,20263,24343,21730,25504,25252,23006,26433,28860,25418,26006,23599,22183,19478,21607,16991,24066,21237,22127,24527,21837,20986,21003,19971,21897,18527,17183,18961,22627,21683,19929,21234,21692,26043,24121,21281,19288,17773,16528,17918,18371,18689,18036,17826,17627,19281,14834,16527,14988,14684,13017,12884,11904,11287,15049,13460,13924,13139,11436,14900,11128,10365,9038,9245,9370,10339,12385,12820,13040,11929,13774,16643,11225,11185,12447,10337,11303,12326,12607,12313,13932,11661,11098,11215,11016,9693,10178,8915,14332,16771,18510,22071,23031,20473,21844,21084,20842,23383,20692,21391,23025,23369,30130,29771,33000,40193,35610,38842,32878,33491,32341,31750,38164,37120,46312,40909,49196,53670,49485,60370,50102,46536,45527,49659,56369,62028,52103,62452,55633,56440,57542,47174,45114,,,,,,,,,,,,,44709,34131,47936,42843,46107,44595,46962,45317,43312,40349,35626,39017,39285,33918,43571,36851,41851,45638,43592,43020,42295,42745,39584,37305,32882,35949,35747,34090,41544,39231,41339,44091,39241,42317,34660,35789,30876,32809,35448,34616,37791,34405,42522,39311,35037,41061,34798,32367,36098,33610,36824,34467,42074,39857,46148,36293,41059,42842,35936,35297,35837,33148,38825,36993,40213,40080,38159,36424,36489,39107,30430,28350,29060,26810,36233,33113,32925,36891,34997,35038,36326,34459,26118,27792,27150,26654,31032,31119,35332,32777,33489,37870,36115,31355,28011,26416,27623,29192,30381,33359,35370,30466,33919,31159,29141,34335,23021,26048,50161
